Teilfinanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Verpfl.-Erm.(€),,Planung(€),,
,,2024,2025,2026,2027,2026,2027,2028,2029,2030
01,Einzahlungen ausZuwendungenfür Investitionsmaßnahmen + ausderVeräußerungvon Sachanlagen + ausderVeräußerungvon Finanzanlagen + ausBeiträgenundähnlichen Entgelten + aussonstigenInvestitionen,"605.855,50",1.050.800,421.310,30.000,,,176.690,1.200.000,735.000
02,,"49.570,00",20.000,20.000,20.000,,,20.000,20.000,20.000
03,,"0,00",0,0,0,,,0,0,0
04,,"0,00",0,0,0,,,0,0,0
05,,"0,00",0,0,0,,,0,0,0
06,= Summederinvestiven Einzahlungen,"655.425,50",1.070.800,441.310,50.000,,,196.690,1.220.000,755.000
07,Auszahlungen - fürdenErwerbvonGrundstücken undGebäuden - fürBaumaßnahmen - fürdenErwerbvonbeweglichem Anlagevermögen - fürdenErwerbvon Finanzanlagen - vonaktivierbarenZuwendungen - aussonstigenInvestitionen,"0,00",0,0,0,0,0,0,0,0
08,,"5.158.850,89",10.686.754,3.273.910,3.843.910,3.070.000,2.395.000,4.660.440,6.320.440,2.795.440
09,,"580.918,11",1.749.084,1.596.180,670.840,583.900,583.900,670.840,670.840,670.840
10,,"0,00",0,0,0,0,0,0,0,0
11,,"0,00",0,0,0,0,0,0,0,0
12,,"0,00",0,0,0,0,0,0,0,0
13,= Summederinvestiven Auszahlungen,"5.739.769,00",12.435.838,4.870.090,4.514.750,3.653.900,2.978.900,5.331.280,6.991.280,3.466.280
14,= SaldoderInvestitionstätigkeit (Einzahlungen./.Auszahlungen),"5.084.343,50-",11.365.038-,4.428.780-,4.464.750-,,,5.134.590-,5.771.280,- 2.711.280-
