,,,,,,,,
"Beschreibung DieProduktgruppebeinhaltetdieKonzeptionierung,denBauunddieUnterhaltungvonFriedhofsanlagen,dieDurchführungvonBestattungenundBeratungvonAngehörigen(=Produkt1)sowiediePflegevon Kriegsgräbern(=Produkt2).BeidemBetriebderstädtischenFriedhöfehandeltessichumeinegebührenrechnendeEinrichtung.",,,,,,,,
BesonderheitenindenPlanjahren Keine,,,,,,,,
Ziele 1.DieausreichendeVersorgungmitFriedhofsflächeistdauerhaftsicherzustellen. 2.DieFriedhofsgebührenbzw.dieErstattungszahlungdesBundesfürKriegsgräbersollendiejeweiligenKostenzu100%decken.,,,,,,,,
,Ergebnis,Ansatz,,,,Planung,,
,2024,2025,2026,,2027,2028,2029,2030
Zielkennzahlen -Zum1.Ziel:Wiedererwerbsquote(wiedererworbeneNutzungsrechte/ nichtverlängerteNutzungsrechtein%) -Zum1.Ziel:MöglicheErweiterungsfläche(inha) -Zum2.Ziel:KostendeckungsgradGebührenrechnungFriedhöfe(in%) -Zum2.Ziel:KostendeckungsgradKriegsgräber(in%),"77,0","63,0","62,0",,"61,0","60,0","60,0","60,0"
,30,30,30,,30,30,30,30
,103,100,100,,100,100,100,100
,151,100,100,,100,100,100,100
Standardkennzahlen -Teilergebnis(Zeile29)proEinwohner/in(inEuro) -Aufwandsdeckungsgrad(in%),"-1,62","-0,18","-0,22",,"-0,22","-0,26","-0,32","-0,38"
,"73,4","97,8","97,4",,"97,3","97,0","96,2","95,6"
Leistungsdaten -AnzahlderBestattungenWaldfriedhofLauheide -AnzahlderBestattungenStadtteilfriedhöfe -AnzahlGrabstellenmitlaufendemNutzungsrechtinsgesamt -FlächeWaldfriedhofLauheideundStadtteilfriedhöfeinsgesamt(inha) -AnteilUrnenbestattungenanGesamtbestattungen,761,750,850,,855,860,865,870
,513,450,500,,500,500,500,500
,36.090,36.700,36.200,,36.150,36.100,36.050,36.000
,"100,3","100,3","100,3",,"100,3","100,3","100,3","100,3"
,"77,6","75,0","79,0",,"79,5","80,0","80,5","81,0"
