Teilfinanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Verpfl.-Erm.(€),,Planung(€),,
,,2024,2025,2026,2027,2026,2027,2028,2029,2030
01,Einzahlungen ausZuwendungenfür Investitionsmaßnahmen + ausderVeräußerungvon Sachanlagen + ausderVeräußerungvon Finanzanlagen + ausBeiträgenundähnlichen Entgelten + aussonstigenInvestitionen,"0,00",0,0,0,,,0,0,0
02,,"17.305,00",2.000,2.000,2.000,,,2.000,2.000,2.000
03,,"0,00",0,0,0,,,0,0,0
04,,"0,00",0,0,0,,,0,0,0
05,,"0,00",0,0,0,,,0,0,0
06,= Summederinvestiven Einzahlungen,"17.305,00",2.000,2.000,2.000,,,2.000,2.000,2.000
07,Auszahlungen - fürdenErwerbvonGrundstücken undGebäuden - fürBaumaßnahmen - fürdenErwerbvonbeweglichem Anlagevermögen - fürdenErwerbvon Finanzanlagen - vonaktivierbarenZuwendungen - aussonstigenInvestitionen,"20.002,65",0,0,0,0,0,0,0,0
08,,"101.686,13",36.334,0,0,0,0,0,0,0
09,,"57.820,49",179.950,160.970,160.970,97.700,97.720,160.990,160.990,160.990
10,,"0,00",0,0,0,0,0,0,0,0
11,,"0,00",0,0,0,0,0,0,0,0
12,,"0,00",0,0,0,0,0,0,0,0
13,= Summederinvestiven Auszahlungen,"179.509,27",216.284,160.970,160.970,97.700,97.720,160.990,160.990,160.990
14,= SaldoderInvestitionstätigkeit (Einzahlungen./.Auszahlungen),"162.204,27-",214.284-,158.970-,158.970-,,,158.990-,158.990-,158.990-
