Teilfinanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Verpfl.-Erm.(€),,Planung(€),,
,,2024,2025,2026,2027,2026,2027,2028,2029,2030
01,Einzahlungen ausZuwendungenfür Investitionsmaßnahmen + ausderVeräußerungvon Sachanlagen + ausderVeräußerungvon Finanzanlagen + ausBeiträgenundähnlichen Entgelten + aussonstigenInvestitionen,"0,00",13.550,13.550,13.550,,,13.550,13.550,13.550
02,,"0,00",0,0,0,,,0,0,0
03,,"0,00",0,0,0,,,0,0,0
04,,"50.081,55",350.020,75.020,75.020,,,75.020,75.020,75.020
05,,"0,00",0,0,0,,,0,0,0
06,= Summederinvestiven Einzahlungen,"50.081,55",363.570,88.570,88.570,,,88.570,88.570,88.570
07,Auszahlungen - fürdenErwerbvonGrundstücken undGebäuden - fürBaumaßnahmen - fürdenErwerbvonbeweglichem Anlagevermögen - fürdenErwerbvon Finanzanlagen - vonaktivierbarenZuwendungen - aussonstigenInvestitionen,"0,00",8.510,7.510,7.510,0,0,7.510,7.510,7.510
08,,"103.932,52",730.928,230.960,346.960,0,0,149.960,399.960,149.960
09,,"0,00",5.040,4.540,4.540,0,0,4.540,4.540,4.540
10,,"0,00",0,0,0,0,0,0,0,0
11,,"0,00",0,0,0,0,0,0,0,0
12,,"0,00",0,0,0,0,0,0,0,0
13,= Summederinvestiven Auszahlungen,"103.932,52",744.478,243.010,359.010,0,0,162.010,412.010,162.010
14,= SaldoderInvestitionstätigkeit (Einzahlungen./.Auszahlungen),"53.850,97-",380.908-,154.440-,270.440-,,,73.440-,323.440-,73.440-
