Teilfinanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Verpfl.-Erm.(€),,Planung(€),,
,,2024,2025,2026,2027,2026,2027,2028,2029,2030
01,Einzahlungen ausZuwendungenfür Investitionsmaßnahmen + ausderVeräußerungvon Sachanlagen + ausderVeräußerungvon Finanzanlagen + ausBeiträgenundähnlichen Entgelten + aussonstigenInvestitionen,"23.586,00-",1.440.000,1.550.000,1.650.000,,,1.450.000,1.100.000,1.100.000
02,,"0,00",0,0,0,,,0,0,0
03,,"0,00",0,0,0,,,0,0,0
04,,"0,00",0,0,0,,,0,0,0
05,,"0,00",0,0,0,,,0,0,0
06,= Summederinvestiven Einzahlungen,"23.586,00-",1.440.000,1.550.000,1.650.000,,,1.450.000,1.100.000,1.100.000
07,Auszahlungen - fürdenErwerbvonGrundstücken undGebäuden - fürBaumaßnahmen - fürdenErwerbvonbeweglichem Anlagevermögen - fürdenErwerbvon Finanzanlagen - vonaktivierbarenZuwendungen - aussonstigenInvestitionen,"0,00",0,0,0,0,0,0,0,0
08,,"169.971,59",3.541.143,2.400.000,2.500.000,4.100.000,1.300.000,2.130.000,1.530.000,1.530.000
09,,"1.716,91",2.500,2.000,2.000,0,0,2.000,2.000,2.000
10,,"0,00",0,0,0,0,0,0,0,0
11,,"0,00",0,0,0,0,0,0,0,0
12,,"0,00",0,0,0,0,0,0,0,0
13,= Summederinvestiven Auszahlungen,"171.688,50",3.543.643,2.402.000,2.502.000,4.100.000,1.300.000,2.132.000,1.532.000,1.532.000
14,= SaldoderInvestitionstätigkeit (Einzahlungen./.Auszahlungen),"195.274,50-",2.103.643-,852.000-,852.000-,,,682.000-,432.000-,432.000-
