Teilergebnisplan Ertrags-undAufwandsarten,,Ergebnis(€),Haushaltsansatz(€),,,Planung(€),,
,,2024,2025,2026,2027,2028,2029,2030
01,SteuernundähnlicheAbgaben,"371,80",0,0,0,0,0,0
02,+ ZuwendungenundallgemeineUmlagen,"3.243,90",0,3.240,3.240,3.240,3.240,3.240
03,+ SonstigeTransfererträge,"0,00",0,0,0,0,0,0
04,+ Öffentlich-rechtlicheLeistungsentgelte,"0,00",0,0,0,0,0,0
05,+ PrivatrechtlicheLeistungsentgelte,"122.422,49",154.000,154.000,154.000,212.240,252.240,277.240
06,+ KostenerstattungenundKostenumlagen,"0,00",0,0,0,0,0,0
07,+ SonstigeordentlicheErträge,"21.511.449,32",18.670.380,18.787.380,18.787.380,18.787.380,18.787.380,18.787.380
08,+ AktivierteEigenleistungen,"0,00",0,0,0,0,0,0
09,+/- Bestandsveränderungen,"0,00",0,0,0,0,0,0
10,= OrdentlicheErträge,"21.637.487,51",18.824.380,18.944.620,18.944.620,19.002.860,19.042.860,19.067.860
11,- Personalaufwendungen,"325.740,94",247.800,271.260,275.270,279.370,285.600,292.160
12,- Versorgungsaufwendungen,"42.565,20",33.500,46.320,40.530,41.350,42.270,43.220
13,- AufwendungenfürSach-undDienstleistungen,"1.107.085,00",3.367.400,2.866.400,3.668.400,3.446.000,3.046.000,2.746.000
14,- BilanzielleAbschreibungen,"12.484,17",6.620,32.710,98.510,139.380,139.170,138.850
15,- Transferaufwendungen,"9.809.734,16",12.072.110,12.014.820,12.285.420,12.346.510,12.004.110,12.047.280
16,- SonstigeordentlicheAufwendungen,"3.767.701,55",3.804.040,2.500.800,2.906.430,2.882.070,2.882.070,2.882.070
17,= OrdentlicheAufwendungen,"15.065.311,02",19.531.470,17.732.310,19.274.560,19.134.680,18.399.220,18.149.580
18,= OrdentlichesErgebnis(=Zeilen10und17),"6.572.176,49",707.090-,1.212.310,329.940-,131.820-,643.640,918.280
19,+ Finanzerträge,"9.459.441,54",15.900.960,9.594.880,11.314.030,11.477.180,11.552.330,11.588.480
20,- ZinsenundsonstigeFinanzaufwendungen,"0,00",0,0,0,0,0,0
21,= Finanzergebnis (=Zeilen19und20),"9.459.441,54",15.900.960,9.594.880,11.314.030,11.477.180,11.552.330,11.588.480
22,= ErgebnisderlaufendenVerwaltungstätigkeit (=Zeilen18und21),"16.031.618,03",15.193.870,10.807.190,10.984.090,11.345.360,12.195.970,12.506.760
23,+ AußerordentlicheErträge,"0,00",0,0,0,0,0,0
24,- AußerordentlicheAufwendungen,"0,00",0,0,0,0,0,0
25,= AußerordentlichesErgebnis(=Zeilen23und24),"0,00",0,0,0,0,0,0
26,= ErgebnisvorBerücksichtigungderinternen Leistungsbeziehungen(=Zeilen22und25),"16.031.618,03",15.193.870,10.807.190,10.984.090,11.345.360,12.195.970,12.506.760
27,+ ErträgeausinternenLeistungsbeziehungen,"0,00",0,0,0,0,0,0
28,- AufwendungenausinternenLeistungsbeziehungen,"195.820,00",2.270,2.160,2.160,2.160,2.160,2.160
29,"= Ergebnis(=Zeilen26,27,28)","15.835.798,03",15.191.600,10.805.030,10.981.930,11.343.200,12.193.810,12.504.600
