Teilfinanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Verpfl.-Erm.(€),,Planung(€),,
,,2024,2025,2026,2027,2026,2027,2028,2029,2030
01,Einzahlungen ausZuwendungenfür Investitionsmaßnahmen + ausderVeräußerungvon Sachanlagen + ausderVeräußerungvon Finanzanlagen + ausBeiträgenundähnlichen Entgelten + aussonstigenInvestitionen,"0,00",0,0,0,,,0,0,0
02,,"0,00",0,0,0,,,0,0,0
03,,"34.000,00",34.000,34.000,34.000,,,34.000,34.000,34.000
04,,"0,00",0,0,0,,,0,0,0
05,,"0,00",0,0,0,,,0,0,0
06,= Summederinvestiven Einzahlungen,"34.000,00",34.000,34.000,34.000,,,34.000,34.000,34.000
07,Auszahlungen - fürdenErwerbvonGrundstücken undGebäuden - fürBaumaßnahmen - fürdenErwerbvonbeweglichem Anlagevermögen - fürdenErwerbvon Finanzanlagen - vonaktivierbarenZuwendungen - aussonstigenInvestitionen,"0,00",0,0,0,0,0,0,0,0
08,,"0,00",0,0,0,0,0,0,0,0
09,,"0,00",0,0,0,0,0,0,0,0
10,,"1.394.032,62",8.650.000,1.500.500,1.500.000,0,0,1.000.000,1.000.000,1.000.000
11,,"0,00",0,0,0,0,0,0,0,0
12,,"0,00",0,0,0,0,0,0,0,0
13,= Summederinvestiven Auszahlungen,"1.394.032,62",8.650.000,1.500.500,1.500.000,0,0,1.000.000,1.000.000,1.000.000
14,= SaldoderInvestitionstätigkeit (Einzahlungen./.Auszahlungen),"1.360.032,62-",8.616.000-,1.466.500-,1.466.000-,,,966.000-,966.000-,966.000-
