Teilergebnisplan Ertrags-undAufwandsarten,,Ergebnis(€),Haushaltsansatz(€),,,Planung(€),,
,,2024,2025,2026,2027,2028,2029,2030
01,SteuernundähnlicheAbgaben,"0,00",0,0,0,0,0,0
02,+ ZuwendungenundallgemeineUmlagen,"0,00",0,0,0,0,0,0
03,+ SonstigeTransfererträge,"0,00",0,0,0,0,0,0
04,+ Öffentlich-rechtlicheLeistungsentgelte,"0,00",0,0,0,0,0,0
05,+ PrivatrechtlicheLeistungsentgelte,"0,00",0,0,0,0,0,0
06,+ KostenerstattungenundKostenumlagen,"0,00",0,0,0,0,0,0
07,+ SonstigeordentlicheErträge,"0,00",0,0,0,0,0,0
08,+ AktivierteEigenleistungen,"0,00",0,0,0,0,0,0
09,+/- Bestandsveränderungen,"0,00",0,0,0,0,0,0
10,= OrdentlicheErträge,"0,00",0,0,0,0,0,0
11,- Personalaufwendungen,"68.614,44",65.280,85.090,86.080,87.000,88.960,90.960
12,- Versorgungsaufwendungen,"25.403,42",20.240,31.440,27.510,28.060,28.690,29.330
13,- AufwendungenfürSach-undDienstleistungen,"13.320,41",250.000,60.000,147.000,211.000,211.000,211.000
14,- BilanzielleAbschreibungen,"0,00",0,25.000,91.000,132.000,132.000,132.000
15,- Transferaufwendungen,"15.539,50",150.000,50.000,75.000,75.000,75.000,75.000
16,- SonstigeordentlicheAufwendungen,"251.549,30",0,225.000,225.000,225.000,225.000,225.000
17,= OrdentlicheAufwendungen,"374.427,07",485.520,476.530,651.590,758.060,760.650,763.290
18,= OrdentlichesErgebnis(=Zeilen10und17),"374.427,07-",485.520-,476.530-,651.590-,758.060-,760.650-,763.290-
19,+ Finanzerträge,"0,00",0,0,0,0,0,0
20,- ZinsenundsonstigeFinanzaufwendungen,"0,00",0,0,0,0,0,0
21,= Finanzergebnis (=Zeilen19und20),"0,00",0,0,0,0,0,0
22,= ErgebnisderlaufendenVerwaltungstätigkeit (=Zeilen18und21),"374.427,07-",485.520-,476.530-,651.590-,758.060-,760.650-,763.290-
23,+ AußerordentlicheErträge,"0,00",0,0,0,0,0,0
24,- AußerordentlicheAufwendungen,"0,00",0,0,0,0,0,0
25,= AußerordentlichesErgebnis(=Zeilen23und24),"0,00",0,0,0,0,0,0
26,= ErgebnisvorBerücksichtigungderinternen Leistungsbeziehungen(=Zeilen22und25),"374.427,07-",485.520-,476.530-,651.590-,758.060-,760.650-,763.290-
27,+ ErträgeausinternenLeistungsbeziehungen,"0,00",0,0,0,0,0,0
28,- AufwendungenausinternenLeistungsbeziehungen,"0,00",0,0,0,0,0,0
29,"= Ergebnis(=Zeilen26,27,28)","374.427,07-",485.520-,476.530-,651.590-,758.060-,760.650-,763.290-
