Teilergebnisplan Ertrags-undAufwandsarten,,Ergebnis(€),Haushaltsansatz(€),,,Planung(€),,
,,2024,2025,2026,2027,2028,2029,2030
01,SteuernundähnlicheAbgaben,"708.047.715,49",728.770.000,768.320.000,794.150.000,809.240.000,821.040.000,817.840.000
02,+ ZuwendungenundallgemeineUmlagen,"124.529.958,79",149.258.000,130.680.000,118.060.000,118.060.000,118.060.000,118.060.000
03,+ SonstigeTransfererträge,"0,00",0,0,0,0,0,0
04,+ Öffentlich-rechtlicheLeistungsentgelte,"0,00",0,0,0,0,0,0
05,+ PrivatrechtlicheLeistungsentgelte,"0,00",0,0,0,0,0,0
06,+ KostenerstattungenundKostenumlagen,"0,00",0,0,0,0,0,0
07,+ SonstigeordentlicheErträge,"5.504.106,27",5.060.000,5.050.000,5.040.000,5.030.000,5.030.000,5.030.000
08,+ AktivierteEigenleistungen,"0,00",0,0,0,0,0,0
09,+/- Bestandsveränderungen,"0,00",0,0,0,0,0,0
10,= OrdentlicheErträge,"838.081.780,55",883.088.000,904.050.000,917.250.000,932.330.000,944.130.000,940.930.000
11,- Personalaufwendungen,"0,00",0,0,0,0,0,0
12,- Versorgungsaufwendungen,"0,00",0,0,0,0,0,0
13,- AufwendungenfürSach-undDienstleistungen,"0,00",0,0,0,0,0,0
14,- BilanzielleAbschreibungen,"0,00",0,673.300,673.300,673.300,673.300,673.300
15,- Transferaufwendungen,"149.760.017,90",160.450.000,166.002.000,172.225.000,179.000.000,181.585.000,182.695.000
16,- SonstigeordentlicheAufwendungen,"8.706.462,66",5.000.000,5.000.000,5.000.000,5.000.000,5.000.000,5.000.000
17,= OrdentlicheAufwendungen,"158.466.480,56",165.450.000,171.675.300,177.898.300,184.673.300,187.258.300,188.368.300
18,= OrdentlichesErgebnis(=Zeilen10und17),"679.615.299,99",717.638.000,732.374.700,739.351.700,747.656.700,756.871.700,752.561.700
19,+ Finanzerträge,"2.221.389,60",6.750.000,8.030.000,8.530.000,8.530.000,8.530.000,8.530.000
20,- ZinsenundsonstigeFinanzaufwendungen,"28.361.905,48",39.000.000,42.700.000,45.000.000,46.000.000,47.000.000,48.000.000
21,= Finanzergebnis (=Zeilen19und20),"26.140.515,88-",32.250.000-,34.670.000-,36.470.000-,37.470.000-,38.470.000-,39.470.000-
22,= ErgebnisderlaufendenVerwaltungstätigkeit (=Zeilen18und21),"653.474.784,11",685.388.000,697.704.700,702.881.700,710.186.700,718.401.700,713.091.700
23,+ AußerordentlicheErträge,"0,00",0,0,0,0,0,0
24,- AußerordentlicheAufwendungen,"0,00",0,0,0,0,0,0
25,= AußerordentlichesErgebnis(=Zeilen23und24),"0,00",0,0,0,0,0,0
26,= ErgebnisvorBerücksichtigungderinternen Leistungsbeziehungen(=Zeilen22und25),"653.474.784,11",685.388.000,697.704.700,702.881.700,710.186.700,718.401.700,713.091.700
27,+ ErträgeausinternenLeistungsbeziehungen,"0,00",0,0,0,0,0,0
28,- AufwendungenausinternenLeistungsbeziehungen,"0,00",0,0,0,0,0,0
29,"= Ergebnis(=Zeilen26,27,28)","653.474.784,11",685.388.000,697.704.700,702.881.700,710.186.700,718.401.700,713.091.700
