Teilfinanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Verpfl.-Erm.(€),,Planung(€),,
,,2024,2025,2026,2027,2026,2027,2028,2029,2030
01,Einzahlungen ausZuwendungenfür Investitionsmaßnahmen + ausderVeräußerungvon Sachanlagen + ausderVeräußerungvon Finanzanlagen + ausBeiträgenundähnlichen Entgelten + aussonstigenInvestitionen,"26.183.691,96",25.653.020,64.431.880,79.875.000,,,49.875.000,41.963.290,19.875.000
02,,"0,00",0,0,0,,,0,0,0
03,,"870.666,44",16.681.840,18.296.710,16.712.060,,,6.476.710,16.094.600,15.959.830
04,,"0,00",0,0,0,,,0,0,0
05,,"0,00",0,0,0,,,0,0,0
06,= Summederinvestiven Einzahlungen,"27.054.358,40",42.334.860,82.728.590,96.587.060,,,56.351.710,58.057.890,35.834.830
07,Auszahlungen - fürdenErwerbvonGrundstücken undGebäuden - fürBaumaßnahmen - fürdenErwerbvonbeweglichem Anlagevermögen - fürdenErwerbvon Finanzanlagen - vonaktivierbarenZuwendungen - aussonstigenInvestitionen,"0,00",0,0,0,0,0,0,0,0
08,,"0,00",0,0,0,0,0,0,0,0
09,,"0,00",0,0,0,0,0,0,0,0
10,,"62.019.974,66",66.270.000,103.770.000,20.000,0,0,20.000,20.000,20.000
11,,"0,00",0,0,0,0,0,0,0,0
12,,"0,00",0,6.500.000,6.500.000,0,0,6.500.000,6.500.000,6.500.000
13,= Summederinvestiven Auszahlungen,"62.019.974,66",66.270.000,110.270.000,6.520.000,0,0,6.520.000,6.520.000,6.520.000
14,= SaldoderInvestitionstätigkeit (Einzahlungen./.Auszahlungen),"34.965.616,26-",23.935.140-,27.541.410-,90.067.060,,,49.831.710,51.537.890,29.314.830
