Teilfinanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Verpfl.-Erm.(€),,Planung(€),,
,,2024,2025,2026,2027,2026,2027,2028,2029,2030
15,Einzahlungen ausderAufnahmevonKrediten fürInvestitionenund wirtschaftlichgleichkommenden Rechtsverhältnissen + ausdenRückflüssenvon Darlehen + ausderAufnahmevonKrediten zurLiquiditätssicherung,"234.985.627,82",581.618.840,421.348.520,266.080.590,0,0,171.129.780,74.972.550,62.438.430
16,,"135.000,00",15.000,15.000,0,,,0,0,0
17,,"115.015.647,66",787.061.668,709.417.513,768.243.543,,,792.430.393,815.760.193,844.232.033
18,= Einzahlungenaus Finanzierungstätigkeit,"350.136.275,48",1.368.695.508,1.130.781.033,1.034.324.133,,,963.560.173,890.732.743,906.670.463
19,Auszahlungen - fürdieTilgungvonKrediten fürInvestitionenund wirtschaftlichgleichkommenden Rechtsverhältnissen - fürdieGewährungvonDarlehen - fürdieTilgungvonKrediten zurLiquiditätssicherung,"50.362.903,14",66.587.000,62.089.000,83.091.000,,,77.093.000,89.095.000,88.097.000
20,,"0,00",0,0,0,,,0,0,0
21,,"30.124.960,78",653.164.805,787.061.668,709.417.513,,,768.243.543,792.430.393,815.760.193
22,= Auszahlungenaus Finanzierungstätigkeit,"80.487.863,92",719.751.805,849.150.668,792.508.513,,,845.336.543,881.525.393,903.857.193
23,= Saldoaus Finanzierungstätigkeit (Einzahlungen./.Auszahlungen),"269.648.411,56",648.943.704,281.630.365,241.815.620,,,118.223.630,9.207.350,2.813.270
