Schwerpunkt,,,2026,,,2027,,,2028,,,2029 ff.,,
,Verwaltungsinternes /,,6.898.000 €,,,10.804.000 €,,,17.818.000 €,,,19.818.000 €,,
,Organisation,,,,,,,,,,,,,
,Zuschüsse /,,1.039.000 €,,,1.662.000,,,1.969.000,,,1.969.000,,
,Förderungen,,,,,,,,,,,,,
,Prognoseanpassungen,,,2.680.000 €,,,3.310.000 €,,,3.070.000 €,,,3.070.000 €,
,Öffentlicher Raum,,,850.000 €,,,1.160.000 €,,,980.000 €,,,980.000 €,
,Abrechnung von,,224.000 €,,,224.000 €,,,224.000 €,,,224.000 €,,
,Leistungen,,,,,,,,,,,,,
,Veranstaltungen,,,13.000 €,,,21.000 €,,,24.000 €,,,24.000 €,
Summe,,,11.704.000 €,,,17.181.000 €,,,24.085.000 €,,,26.085.000 €,,
