Produktgruppe Nummer Bezeichnung,,Amt
01 04,Gleichstellung aller Geschlechter,17
01 08,Personal- und Organisationsmanagement,10
03 01,Leistungen für Schulen,40
03 02,Zentrale Leistungen für am Schulleben Beteiligte,40
04 01,Kulturmanagement / Kulturförderung,41
04 03,Westf. Schule für Musik und Förderung der Stadtteilmusikschulen,44
04 04,Stadtbücherei und Förderung von Büchereien freier Träger,42
04 06,Stadtarchiv,47
05 03,Sicherung besonderer sozialer Bedarfe,50
06 01,Förderung von Kindern in Tagesbetreuung,51
06 04,Familienförderung,51
06 05,Erzieherische und wirtschaftliche Hilfen für Familien,51
08 01,"Sportentwicklung, Sportanlagen und -stätten",52
10 03,Wohnen,64
