Ergebnisplan,,insgesamt,,davon Zentralfinanzrahmen,,davon Ämterfinanzrahmen,
Zeile Bezeichnung,,Ansatz 2026 Ansatz 2027,,Ansatz 2026 Ansatz 2027,,Ansatz 2026 Ansatz 2027,
01,Steuern und ähnliche Abgaben,772.920.000 €,798.750.000 €,0 €,0 €,772.920.000 €,798.750.000 €
02,Zuwendungen und allgemeine Umlagen,329.117.380 €,316.433.700 €,33.294.130 €,32.806.780 €,295.823.250 €,283.626.920 €
03,Sonstige Transfererträge,23.520.410 €,23.561.690 €,0 €,0 €,23.520.410 €,23.561.690 €
04,Öffentlich-rechtliche Leistungsentgelte,166.819.650 €,171.401.800 €,19.079.000 €,19.079.000 €,147.740.650 €,152.322.800 €
05,Privatrechtliche Leistungsentgelte,29.099.230 €,29.418.880 €,0 €,0 €,29.099.230 €,29.418.880 €
06,Kostenerstattungen und Kostenumlagen,283.515.830 €,289.006.140 €,0 €,0 €,283.515.830 €,289.006.140 €
07,Sonstige ordentliche Erträge,51.199.770 €,51.413.230 €,8.975.340 €,8.948.380 €,42.224.430 €,42.464.850 €
08,Aktivierte Eigenleistungen,4.658.000 €,4.658.000 €,4.658.000 €,4.658.000 €,0 €,0 €
09,Bestandsveränderungen,0 €,0 €,0 €,0 €,0 €,0 €
10,Ordentliche Erträge,1.660.850.270 €,1.684.643.440 €,66.006.470 €,65.492.160 €,1.594.843.800 €,1.619.151.280 €
11,Personalaufwendungen,399.070.160 €,403.490.640 €,399.070.160 €,403.490.640 €,0 €,0 €
12,Versorgungsaufwendungen,37.793.410 €,33.064.540 €,37.793.410 €,33.064.540 €,0 €,0 €
13,Aufwendungen für Sach- und Dienstleistungen,171.340.980 €,171.533.400 €,0 €,0 €,171.340.980 €,171.533.400 €
14,Bilanzielle Abschreibungen,91.373.160 €,91.693.160 €,91.373.160 €,91.693.160 €,0 €,0 €
15,Transferaufwendungen,899.059.340 €,912.399.470 €,4.247.310 €,3.722.280 €,894.812.030 €,908.677.190 €
16,Sonstige ordentliche Aufwendungen,87.896.130 €,89.187.360 €,1.233.730 €,1.238.220 €,86.662.400 €,87.949.140 €
17,Ordentliche Aufwendungen,1.686.533.180 €,1.701.368.570 €,533.717.770 €,533.208.840 €,1.152.815.410 €,1.168.159.730 €
18,Ordentliches Ergebnis,-25.682.910 €,-16.725.130 €,-467.711.300 €,-467.716.680 €,442.028.390 €,450.991.550 €
19,Finanzerträge,21.624.880 €,23.844.030 €,21.624.880 €,23.844.030 €,0 €,0 €
20,Zinsen und sonstige Finanzaufwendungen,42.707.000 €,45.007.000 €,42.707.000 €,45.007.000 €,0 €,0 €
21,Finanzergebnis,-21.082.120 €,-21.162.970 €,-21.082.120 €,-21.162.970 €,0 €,0 €
28,Jahresergebnis,-46.765.030 €,-37.888.100 €,-488.793.420 €,-488.879.650 €,442.028.390 €,450.991.550 €
