Produktbereich,,Ist 2024,Ansatz 2025,Ansatz 2026,Ansatz 2027,Plan 2028,Plan 2029,Plan 2030
Nummer,Bezeichnung,(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro)
01,Innere Verwaltung,"-92,5","-102,5","-102,4","-102,6","-99,2","-95,0","-97,5"
02,Sicherheit und Ordnung,"-62,3","-63,8","-66,0","-64,3","-65,5","-67,7","-70,2"
03,Schulträgeraufgaben,"-94,3","-96,3","-96,7","-97,5","-98,3","-99,5","-101,1"
04,Kultur und Wissenschaft,"-54,1","-51,8","-53,7","-55,0","-54,2","-54,4","-54,8"
05,Soziale Leistungen,"-121,8","-124,6","-126,2","-126,1","-115,4","-117,0","-119,1"
06,"Kinder-, Jugend- und Familienhilfe","-189,1","-187,3","-208,9","-206,9","-225,0","-225,0","-228,0"
07,Gesundheitsdienste,"-13,8","-14,4","-14,4","-14,7","-14,9","-14,8","-15,0"
08,Sportförderung,"-28,3","-27,4","-25,9","-25,8","-24,8","-24,9","-25,0"
09,Räumliche Planung und Entwicklung,"-17,0","-17,3","-18,4","-17,8","-17,8","-18,1","-18,5"
10,Bauen und Wohnen,"-12,6","-13,8","-13,1","-13,0","-12,1","-12,4","-12,9"
11,Ver- und Entsorgung,"36,9","43,0","45,0","47,1","47,6","47,9","48,1"
12,"Verkehrsflächen und -anlagen, ÖPNV","-51,2","-48,0","-46,4","-46,5","-47,1","-47,9","-48,3"
13,Natur- und Landschaftspflege,"-22,3","-21,7","-23,1","-23,3","-22,9","-23,2","-23,6"
14,Umweltschutz,"-4,6","-5,2","-5,1","-5,4","-5,4","-5,4","-5,5"
15,Wirtschaft und Tourismus,"15,8","15,2","10,8","11,0","11,3","12,2","12,5"
16,Allgemeine Finanzwirtschaft,"653,5","685,4","697,7","702,9","710,2","718,4","713,1"
17,Stiftungen,"0,2","-0,0","-0,0","-0,0","-0,0","-0,0","-0,0"
,Summe,"-57,5","-30,4","-46,8","-37,9","-33,6","-26,9","-46,0"
