Position,2024,2025,2026,2027,2028,2029,2030
,Mio. Euro,Mio. Euro,Mio. Euro,Mio. Euro,Mio. Euro,Mio. Euro,Mio. Euro
Allgemeine Rücklage am 01.01.,"690,0","690,2","690,2","662,9","625,0","598,3","579,4"
Ausgleichsrücklage am 01.01.,"107,2","49,6","19,4","0,0","0,0","0,0","0,0"
Jahresergebnis (vor Berücksichtigung des globalen Minderaufwandes),"-57,5","-30,4","-46,8","-37,9","-33,6","-26,9","-46,0"
globaler Minderaufwand (Finanzstabilität),"0,0","0,2","0,0","0,0","7,0","8,0","9,0"
Jahresergebnis (nach Berücksichtigung des globalen Minderaufwandes),"-57,5","-30,3","-46,8","-37,9","-26,6","-18,9","-37,0"
Verrechnung mit der allgemeinen Rücklage nach § 44 KomHVO,"0,3","0,0","0,0","0,0","0,0","0,0","0,0"
Zuführung/Entnahme allgemeine Rücklage,"0,0","0,0","-27,4","-37,9","-26,6","-18,9","-37,0"
Zuführung/Entnahme Ausgleichsrücklage,"-57,5","-30,3","-19,4","0,0","0,0","0,0","0,0"
Allgemeine Rücklage am 31.12.,"690,2","690,2","662,9","625,0","598,3","579,4","542,4"
Ausgleichsrücklage am 31.12.,"49,6","19,4","0,0","0,0","0,0","0,0","0,0"
"Schwellenwert nach § 76 Abs. 1 Nr. 2 GO (5,0%)","34,5","34,5","34,5","33,1","31,2","29,9","29,0"
Puffer / Abstand bis zum Schwellenwert,"34,5","34,5","7,1","-4,7","4,6","11,0","-8,0"
Schwellenwert,%,%,%,%,%,%,%
Inanspruchnahme der allgemeinen Rücklage,"0,0%","0,0%","4,0%","5,7%","4,3%","3,2%","6,4%"
