Ergebnisplan (Summen und Salden),,Ist 2024,Ansatz 2025,fortgeschr. Ansatz 2025,Ansatz 2026,Ansatz 2027,Plan 2028,Plan2029,Plan 2030
Zeile,Bezeichnung,(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro)
10,Ordentliche Erträge,"1.589,1","1.638,2","1.638,2","1.660,9","1.684,6","1.706,1","1.722,4","1.722,0"
17,Ordentliche Aufwendungen,"1.635,4","1.656,8","1.673,7","1.686,5","1.701,4","1.717,7","1.726,4","1.744,1"
18,Ordentliches Ergebnis (= Zeilen 10 und 17),"-46,3","-18,7","-35,5","-25,7","-16,7","-11,6","-4,0","-22,1"
21,Finanzergebnis (= Zeilen 19 und 20),"-11,2","-11,8","-11,8","-21,1","-21,2","-22,0","-22,9","-23,9"
22,Ergebnis der lfd. Verwaltungstätigkeit (= Zeilen 18 und 21),"-57,5","-30,4","-47,3","-46,8","-37,9","-33,6","-26,9","-46,0"
25,Außerordentliches Ergebnis (= Zeilen 23 und 24),"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
26,Jahresergebnis (= Zeilen 22 und 25),"-57,5","-30,4","-47,3","-46,8","-37,9","-33,6","-26,9","-46,0"
27,globaler Minderaufwand,"0,0","0,2","0,2","0,0","0,0","7,0","8,0","9,0"
28,Jahresergebnis nach Abzug globaler Minderaufwand (= Zeilen 26 und 27),"-57,5","-30,3","-47,1","-46,8","-37,9","-26,6","-18,9","-37,0"
