Ergebnisplan,,Ist 2024,Ansatz 2025,fortgeschr. Ansatz 2025,Ansatz 2026,Ansatz 2027,Plan 2028,Plan2029,Plan 2030
Zeile,Bezeichnung,(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro)
01,Steuern und ähnliche Abgaben,"712,9","733,7","733,7","772,9","798,8","813,8","825,6","822,4"
02,Zuwendungen und allgemeine Umlagen,"317,5","338,2","338,2","329,1","316,4","318,3","316,9","316,0"
03,Sonstige Transfererträge,"24,1","22,9","22,9","23,5","23,6","22,6","22,6","22,7"
04,Öffentlich-rechtliche Leistungsentgelte,"166,2","169,3","169,3","166,8","171,4","173,1","174,2","174,9"
05,Privatrechtliche Leistungsentgelte,"26,7","27,8","27,8","29,1","29,4","30,4","30,5","30,6"
06,Kostenerstattungen und Kostenumlagen,"282,9","292,6","292,6","283,5","289,0","291,8","296,6","299,4"
07,Sonstige ordentliche Erträge,"54,5","49,4","49,4","51,2","51,4","51,4","51,3","51,3"
08,Aktivierte Eigenleistungen,"4,2","4,4","4,4","4,7","4,7","4,7","4,7","4,7"
09,Bestandsveränderungen,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
10,Ordentliche Erträge,"1.589,1","1.638,2","1.638,2","1.660,9","1.684,6","1.706,1","1.722,4","1.722,0"
