Steuerarten,Ist 2024,Ansatz 2025,Ansatz 2026,Ansatz 2027,Plan 2028,Plan 2029,Plan 2030
,(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro)
Grundsteuer,"65,6","66,2","66,9","67,9","68,6","69,4","70,2"
Gewerbesteuer,"358,2","366,0","385,0","385,0","385,0","395,0","395,0"
Gemeindeanteil an der Einkommensteuer,"207,5","218,0","226,0","236,0","242,0","253,0","265,0"
Gemeindeanteil an der Umsatzsteuer,"47,8","49,0","59,0","73,0","81,0","71,0","55,0"
Sonstige kommunale Steuern,"8,4","8,6","9,9","10,4","10,8","10,8","10,8"
Ausgleichsleistungen,"25,5","25,9","26,1","26,5","26,5","26,5","26,5"
Steuern und ähnliche Abgaben,"712,9","733,7","772,9","798,8","813,8","825,6","822,4"
Ordentliche Erträge,"1.589,1","1.638,2","1.660,9","1.684,6","1.706,1","1.722,4","1.722,0"
Prozentualer Anteil der Steuern etc.,"44,9","44,8","46,5","47,4","47,7","47,9","47,8"
