Dezernat,,2026 - 2030,
Nummer,Bezeichnung,Euro,Anteil (in %)
OB,Dezernat des Oberbürgermeisters,200.000,"0,01"
I,"Dezernat für Personal, Organisation, Ordnung, Feuerwehr und IT",157.721.610,"11,05"
II,"Dezernat für Finanzen, Beteiligungen und Integration",142.400.500,"9,98"
III,"Dezernat für Planung, Bau und Wirtschaft",308.357.000,"21,61"
IV,"Dezernat für Bildung, Jugend, Familie und Sport",609.363.950,"42,71"
V,Dezernat für Soziales und Kultur,28.346.460,"1,99"
VI,"Dezernat für Wohnungsversorgung, Immobilien und Nachhaltigkeit",180.508.940,"12,65"
,,1.426.898.460,"100,00"
