Finanzplan,,Ist,Ansatz,fortgeschr.,Ansatz,Ansatz,Plan,Plan,Plan
,,2024,2025,Ansatz 2025,2026,2027,2028,2029,2030
Zeile,Bezeichnung,(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro)
24,Erwerb von Grundstücken und Gebäuden,"7,0","29,3","41,1","12,7","3,5","3,5","3,5","3,5"
25,Baumaßnahmen,"189,3","335,3","493,8","367,3","350,8","212,6","102,6","68,1"
26,Erwerb von beweglichem Anlagevermögen,"13,8","22,0","35,2","26,8","21,0","19,2","20,4","18,0"
27,Erwerb von Finanzanlagen,"63,4","69,7","74,9","105,3","1,5","1,0","1,0","1,0"
28,Aktivierbare Zuwendungen,"29,1","36,5","44,7","14,1","16,5","5,2","4,0","4,0"
29,Sonstige Investitionsauszahlungen,"0,0","1,8","1,8","8,4","7,9","7,8","7,8","7,7"
30,Auszahlungen aus Investitionstätigkeit,"302,6","494,5","691,5","534,6","401,2","249,3","139,4","102,3"
