Kredite für,Aufnahme,Tilgung,Netto-,Schulden
Investitionen,,,Neuverschuldung,am 31.12.
,(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro)
2023 (Ist),"184,9","54,0","130,9","1.038,4"
2024 (Ist),"235,0","51,2","183,8","1.222,2"
2025 (Prognose),"257,6","51,7","205,0","1.427,2"
2026 (Ansatz),"421,3","62,0","359,3","1.786,5"
2027 (Ansatz),"266,1","83,0","183,1","1.969,6"
2028 (Plan),"171,1","77,0","94,1","2.063,8"
2029 (Plan),"75,0","89,0","-14,0","2.049,7"
2030 (Plan),"62,4","88,0","-25,6","2.024,2"
