Tarifart,Entgelt- gruppe,,Zahl der,,,Zahl der,,,Zahl der,,,Ist-Besetzung,,Erläuterungen kw
,,,Stellen,,,Stellen,,,Stellen,,,am,,
,,,2027,,,2026,,,2025,,,30.06.2025,,
,S17,"22,54",,,"22,54",,,"23,27",,,"21,99",,,
,S16,"4,00",,,"4,00",,,"3,00",,,"2,87",,,
,S15,"54,91",,,"55,91",,,"53,31",,,"52,32",,,"1,00 x kw 31.12.2026"
,S14,"54,83",,,"54,83",,,"50,08",,,"54,70",,,
,S13,"24,00",,,"24,00",,,"26,00",,,"24,13",,,
,S12,"195,98",,,"195,98",,,"192,76",,,"176,48",,,"1,00 x kw 31.12.2027 0,50 x kw 31.12.2028 0,40 x kw 31.12.2029"
,S11B,"73,34",,,"73,34",,,"76,36",,,"71,29",,,
,S10,"1,00",,,"1,00",,,"1,00",,,"0,77",,,
,S09,"19,40",,,"19,40",,,"21,40",,,"16,14",,,
,S08B,"18,09",,,"18,09",,,"6,50",,,"5,79",,,
,S08A,"387,32",,,"392,72",,,"432,50",,,"331,10",,,"5,40 x kw 31.12.2026 2,03 x kw 31.12.2029"
,S03,"75,40",,,"75,40",,,"75,40",,,"52,00",,,
,S02,"50,17",,,"54,41",,,"81,41",,,"43,29",,,"4,24 x kw 31.12.2026"
,Summe,,"1.009,23",,,"1.019,87",,,"1.070,24",,"878,61",,,
Festgehälter,,,,,,,,,,,,,,
,TVÖDFEST,"10,82",,,"10,82",,,"11,82",,,"11,00",,,
,Summe,"10,82",,,"10,82",,,"11,82",,,"11,00",,,
Insgesamt,,"3.634,92",,,"3.643,05",,,"3.652,82",,,"3.202,46",,,
