,,,,Wahlbeamte,,,,,Laufbahngruppe 2 –,,,,,,Laufbahngruppe 2 –,,,,,,Laufbahngruppe 1 –,,,,,
,,,,,,,,,Einstiegsamt 2,,,,,,Einstiegsamt 1,,,,,,Einstiegsamt 2,,,,,
PG,Bezeichnung,,,B10,B6,B5,B2,A16,,A15,A14,A13,,A13,,A12,A11,A10,,A9Z,,A9,A8,A7,,Summe
0115,IT-MANAGEMENT (CITEQ),,,,,,"1,00",,,"3,00",,,,"6,00",,"14,00","6,00",,,,,,,,,"30,00"
,,Summen: Produktbereich 01,,,,,"1,00",,,"3,00","0,00",,,"6,00",,"14,00","6,00","0,00",,,,,"0,00",,,"30,00"
,,Innere Verwaltung,,,,,,,,,,,,,,,,,,,,,,,,
0407,THEATER MÜNSTER,,,,,,,,,,,,,,,,"1,00","2,00",,,,,"1,00",,,"4,00"
,,Summen: Produktbereich 04,,,,,"0,00",,,"0,00","0,00",,,"0,00",,"0,00","1,00","2,00",,,,,"1,00",,,"4,00"
,,Kultur und Wissenschaft,,,,,,,,,,,,,,,,,,,,,,,,
1102,ABFALLWIRTSCHAFT (AWM),,,,,,,,,,"1,00",,,,,"1,50",,,,,,,"1,00",,,"3,50"
,,Summen: Produktbereich 11,,,,,"0,00",,,"0,00","1,00",,,"0,00",,"1,50","0,00","0,00",,,,,"1,00",,,"3,50"
,,Ver- und Entsorgung,,,,,,,,,,,,,,,,,,,,,,,,
1502,STADTMARKETING (MM),,,,,,,,,,,,,,,"1,00",,,,,,,,,,"1,00"
,,Summen: Produktbereich 15,,,,,"0,00",,,"0,00","0,00",,,"0,00",,"1,00","0,00","0,00",,,,,"0,00",,,"1,00"
,,Wirtschaft und Tourismus,,,,,,,,,,,,,,,,,,,,,,,,
,Gesamtsumme,,,,,,"1,00",,,"3,00","1,00",,,"6,00",,"16,50","7,00","2,00",,,,,"2,00",,,"38,50"
