,,,,,TVÖD VKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Bezeichnung,,,E15,,,E14,,,E13,,,E12,,,E11,,,E10,,,E09C,,,E09B,,,E09A,,,E08,,,E07,,,E06,,,E05,,,E04,,,E03,,,E02,,
0206,AUSLÄNDER- ANGELEGENHEITEN,,,,,,,,,,,,"2,00",,,"1,00",,,"1,00",,,"3,00",,,,,,"16,66",,,,,,,,,"3,73",,,,,,,,,,,,,,
0207,STATISTIK,,,"0,50",,,,,,"1,80",,,,,,"2,10",,,"1,00",,,,,,"0,89",,,,,,"1,00",,,,,,,,,,,,,,,,,,,,
0209,BRANDSCHUTZ UND FEUERWEHRTECHNISCHE HILFELEISTUNG,,,,,,,,,"0,64",,,"1,49",,,"2,65",,,"2,29",,,"2,15",,,"2,54",,,"4,38",,,"4,10",,,"5,46",,,"3,84",,,,,,,,,,,,,,
0210,RETTUNGSDIENST,,,"1,00",,,,,,"0,36",,,"1,51",,,"3,35",,,"0,71",,,"0,35",,,"1,97",,,"1,63",,,"1,90",,,"0,54",,,"4,43",,,,,,,,,,,,,,
0211,VETERINÄRWESEN UND LEBENSMITTELÜBERWACHU NG,,,,,,"6,00",,,"1,00",,,,,,,,,"0,20",,,"4,00",,,"3,84",,,,,,"1,00",,,,,,"1,00",,,"0,04",,,,,,"1,00",,,,,
,,Summen: Produktbereich 02,,,"1,50",,,"6,00",,,"3,80",,,"11,00",,,"11,25",,,"6,20",,,"20,50",,,"14,98",,,"89,25",,,"53,35",,,"20,01",,,"35,20",,,"36,31",,,"4,50",,,"7,75",,,"0,00",
,,Sicherheit und Ordnung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0301,LEISTUNGEN FÜR SCHULEN,,,,,,"1,00",,,"2,11",,,"1,40",,,"9,65",,,"5,15",,,,,,"2,00",,,"8,40",,,"1,89",,,"50,00",,,"121,07",,,"1,25",,,"5,37",,,"31,68",,,"1,88",,
0302,ZENTRALE LEISTUNGEN FÜR SCHÜLER/-INNEN UND AM SCHULLEBEN BETEILIGTE,,,,,,"1,00",,,"8,61",,,"1,60",,,"2,30",,,,,,,,,"0,50",,,"0,65",,,"0,13",,,,,,"3,19",,,,,,,,,,,,,,
,,Summen: Produktbereich 03,,,"0,00",,,"2,00",,,"10,72",,,"3,00",,,"11,95",,,"5,15",,,"0,00",,,"2,50",,,"9,05",,,"2,02",,,"50,00",,,"124,26",,,"1,25",,,"5,37",,,"31,68",,,"1,88",
,,Schulträgeraufgaben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0401,KULTURMANAGEMENT/KULT URFÖRDERUNG,,,"1,00",,,,,,"1,00",,,"2,00",,,"3,25",,,"2,00",,,,,,,,,"3,00",,,"0,50",,,"1,00",,,"0,37",,,,,,"2,20",,,"1,50",,,,,
0402,VOLKSHOCHSCHULE,,,"1,00",,,,,,"8,17",,,,,,"1,00",,,,,,,,,"0,75",,,,,,"4,67",,,"2,00",,,"1,00",,,"2,75",,,"0,64",,,,,,,,
0403,WESTFÄLISCHE SCHULE FÜR MUSIK UND FÖRDERUNG DER STADTTEIL- MUSIKSCHULEN,,,"1,00",,,"1,00",,,,,,,,,"1,00",,,"6,80",,,,,,"55,69",,,"1,50",,,,,,"1,00",,,,,,"1,00",,,"1,00",,,"0,77",,,,,
0404,STADTBÜCHEREI UND FÖRDERUNG VON BÜCHEREIEN FREIER TRÄGER,,,"1,00",,,"1,00",,,"0,90",,,"3,00",,,"5,00",,,"10,30",,,"2,23",,,"0,77",,,"10,97",,,,,,"23,06",,,"1,00",,,"2,00",,,,,,,,,"1,50",,
0405,STADTMUSEUM,,,,,,,,,"1,86",,,"1,00",,,"2,00",,,,,,,,,"2,64",,,,,,,,,"1,00",,,"1,00",,,"3,18",,,"0,94",,,"0,64",,,,,
0406,STADTARCHIV,,,,,,"1,00",,,,,,,,,"0,61",,,,,,"1,50",,,"1,00",,,,,,,,,"1,00",,,,,,"1,00",,,,,,"0,92",,,"2,00",,
0408,GESCHICHTSORT VILLA TEN HOMPEL,,,"1,00",,,,,,"2,75",,,,,,,,,,,,,,,"1,25",,,,,,"0,52",,,,,,"1,00",,,,,,,,,,,,,,
,,Summen: Produktbereich 04,,,"5,00",,,"3,00",,,"14,68",,,"6,00",,,"12,86",,,"19,10",,,"3,73",,,"62,10",,,"15,47",,,"5,69",,,"29,06",,,"4,37",,,"9,93",,,"4,78",,,"3,83",,,"3,50",
,,Kultur und Wissenschaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0501,STÄDTISCHE ARBEITSGELEGENHEITEN AGH,,,,,,,,,,,,,,,,,,"1,00",,,,,,,,,,,,,,,,,,"0,98",,,"1,64",,,"1,00",,,"3,08",,,,,
0501,GRUNDSICHERUNG FÜR ARBEITSSUCHENDE NACH DEM SGB II,,,,,,"4,00",,,,,,"9,00",,,"6,75",,,"7,00",,,"89,95",,,"1,50",,,"4,00",,,"21,50",,,,,,"6,00",,,"3,50",,,"1,50",,,"1,77",,,,,
