,,,,Wahlbeamte,,,,,,,,,,,,,Laufbahngruppe 2 –,,,,,,,,,,,,Laufbahngruppe 2 –,,,,,,,,,,,,Laufbahngruppe 1 –,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Einstiegsamt 2,,,,,,,,,,,,Einstiegsamt 1,,,,,,,,,,,,Einstiegsamt 2,,,,,,,,,,,,,
PG,Bezeichnung,,,B10,,,B6,,,B5,,,B2,,,A16,,,A15,,,A14,,,A13,,,A13,,,A12,,,A11,,,A10,,,A9Z,,,A9,,,A8,,,A7,,,Summe,,
1101,ABWASSERBESEITIGUNG,,,,,,,,,,,,"0,16",,,"2,05",,,,,,"0,82",,,,,,,,,"2,00",,,"0,40",,,"1,78",,,,,,"0,87",,,,,,,,,"8,08",,
,,Summen: Produktbereich 11,,,"0,00",,,"0,00",,,"0,00",,,"0,16",,,"2,05",,,"0,00",,,"0,82",,,"0,00",,,"0,00",,,"2,00",,,"0,40",,,"1,78",,,"0,00",,,"0,87",,,"0,00",,,"0,00",,,"8,08",
,,Ver- und Entsorgung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,BEREITSTELLUNG VON VERKEHRSFLÄCHEN UND -ANLAGEN,,,,,,,,,,,,"0,84",,,"1,90",,,,,,"4,17",,,"3,00",,,"2,00",,,"2,45",,,"4,60",,,"1,85",,,,,,"0,71",,,,,,,,,"21,53",,
,,Summen: Produktbereich 12,,"0,00",,,"0,00",,,"0,00",,,"0,84",,,"1,90",,,"0,00",,,"4,17",,,"3,00",,,"2,00",,,"2,45",,,"4,60",,,"1,85",,,"0,00",,,"0,71",,,"0,00",,,"0,00",,,"21,53",,
,,Verkehrsflächen u. -anla-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"gen,ÖPNV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,GRÜN- UND FREIFLÄCHEN,,,,,,,,,,,,"1,00",,,,,,"1,00",,,,,,,,,,,,"1,00",,,"3,50",,,"1,00",,,,,,,,,"1,50",,,,,,"9,00",,
1302,FRIEDHÖFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,50",,,,,,,,,"1,00",,,,,,,,,"1,50",,
1303,"NATUR, LANDSCHAFT, ERHOLUNG, WASSERSCHUTZ",,,,,,,,,,,,,,,,,,"1,00",,,,,,,,,,,,"1,00",,,"3,77",,,"2,00",,,,,,,,,,,,,,,"7,77",,
1304,FLIEßENDE GEWÄSSER,,,,,,,,,,,,,,,"0,05",,,,,,"0,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,06",,
1305,WALD UND FORSTWIRTSCHAFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00",,,,,,,,,,,,,,,,,,,,,"1,00",,
,,Summen: Produktbereich 13,,,"0,00",,,"0,00",,,"0,00",,,"1,00",,,"0,05",,,"2,00",,,"0,01",,,"0,00",,,"0,00",,,"3,00",,,"7,77",,,"3,00",,,"0,00",,,"1,00",,,"1,50",,,"0,00",,,"19,33",
,,Natur- und Landschaftspflege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1401,"ÜBERGREIFENDER UMWELTSCHUTZ, KLIMA, IMMISSION, BODEN, ABFALL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,00",,,"0,50",,,"1,00",,,,,,,,,,,,,,,"4,50",,
,,Summen: Produktbereich 14,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"3,00",,,"0,50",,,"1,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"4,50",
,,Umweltschutz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,STADTHALLE HILTRUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,38",,,,,,,,,,,,,,,"0,38",,
1504,ÖFFENTLICHE TOILETTENANLAGEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00",,,,,,,,,,,,,,,"1,00",,
,,Summen: Produktbereich 15,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"1,38",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"1,38",
,,Wirtschaft und Tourismus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"1,00",,,"1,00",,,"5,00",,,"6,00",,,"13,00",,,"29,65",,,"54,43",,,"16,00",,,"51,33",,,"121,48",,,"199,16",,,"173,18",,,"46,05",,,"324,97",,,"178,96",,,"7,01",,,"1.228,21",
