,,,,,TVÖD VKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Bezeichnung,,,E15,,,E14,,,E13,,,E12,,,E11,,,E10,,,E09C,,,E09B,,,E09A,,,E08,,,E07,,,E06,,,E05,,,E04,,,E03,,,E02,,
1003,WOHNEN,,,,,,,,,"2,00",,,,,,"9,50",,,"2,90",,,"2,50",,,,,,,,,"2,50",,,"1,00",,,"1,80",,,,,,,,,,,,,,
,,Summen: Produktbereich 10,,,"0,00",,,"1,75",,,"3,00",,,"14,95",,,"21,28",,,"2,90",,,"2,50",,,"10,50",,,"0,00",,,"2,50",,,"2,00",,,"3,80",,,"1,50",,,"1,00",,,"0,00",,,"0,00",
,,Bauen und Wohnen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,ABWASSERBESEITIGUNG,,,"2,00",,,"7,46",,,"5,63",,,"25,67",,,"41,10",,,"3,60",,,"2,40",,,"14,88",,,"16,45",,,"2,50",,,"20,00",,,"66,89",,,,,,,,,,,,,,
,,Summen: Produktbereich 11,,,"2,00",,,"7,46",,,"5,63",,,"25,67",,,"41,10",,,"3,60",,,"2,40",,,"14,88",,,"16,45",,,"2,50",,,"20,00",,,"66,89",,,"0,00",,,"0,00",,,"0,00",,,"0,00",
,,Ver- und Entsorgung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,BEREITSTELLUNG VON VERKEHRSFLÄCHEN UND - ANLAGEN,,,"1,00",,,"5,50",,,"7,38",,,"32,43",,,"34,86",,,"1,50",,,"2,10",,,"14,00",,,"18,58",,,,,,"0,50",,,"35,97",,,,,,,,,,,,,,
,,Summen: Produktbereich 12,,"1,00",,,"5,50",,,"7,38",,,"32,43",,,"34,86",,,"1,50",,,"2,10",,,"14,00",,,"18,58",,,"0,00",,,"0,50",,,"35,97",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,
,,"Verkehrsflächen u. -anlagen,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ÖPNV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,GRÜN- UND FREIFLÄCHEN,,,,,,"1,50",,,"1,00",,,"8,00",,,"18,38",,,,,,,,,"7,50",,,"7,00",,,"0,26",,,"20,42",,,"67,65",,,"24,50",,,,,,,,,,,
1302,FRIEDHÖFE,,,,,,,,,"1,00",,,,,,,,,,,,,,,"1,00",,,"3,68",,,,,,"1,00",,,"11,00",,,"2,00",,,,,,"1,00",,,,,
1303,"NATUR, LANDSCHAFT, ERHOLUNG, WASSERSCHUTZ",,,,,,"1,00",,,"2,00",,,"3,00",,,"16,00",,,"0,63",,,,,,"1,00",,,"1,50",,,,,,,,,"1,50",,,,,,,,,,,,,,
1304,FLIEßENDE GEWÄSSER,,,,,,"0,04",,,,,,"2,50",,,"2,25",,,"0,41",,,,,,"1,16",,,,,,,,,,,,"0,01",,,,,,,,,,,,,,
1305,WALD UND FORSTWIRTSCHAFT,,,,,,"0,50",,,,,,,,,,,,,,,,,,,,,"1,00",,,,,,,,,"4,00",,,,,,,,,,,,,,
,,Summen: Produktbereich 13,,,"0,00",,,"3,04",,,"4,00",,,"13,50",,,"36,63",,,"1,04",,,"0,00",,,"10,66",,,"13,18",,,"0,26",,,"21,42",,,"84,16",,,"26,50",,,"0,00",,,"1,00",,,"0,00",
,,Natur- und Landschaftspflege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1401,"ÜBERGREIFENDER UMWELTSCHUTZ, KLIMA, IMMISSION, BODEN, ABFALL",,,,,,"3,00",,,"2,00",,,"5,50",,,"16,50",,,,,,"0,50",,,,,,"2,00",,,,,,,,,"0,50",,,,,,,,,,,,,,
,,Summen: Produktbereich 14,,,"0,00",,,"3,00",,,"2,00",,,"5,50",,,"16,50",,,"0,00",,,"0,50",,,"0,00",,,"2,00",,,"0,00",,,"0,00",,,"0,50",,,"0,00",,,"0,00",,,"0,00",,,"0,00",
,,Umweltschutz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,STADTHALLE HILTRUP,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00",,,,,,,,,"1,00",,,,,,,,,,,,,,
,,Summen: Produktbereich 15,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"1,00",,,"0,00",,,"0,00",,,"1,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",
,,Wirtschaft und Tourismus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"38,85",,,"72,32",,,"83,96",,,"236,30",,,"342,61",,,"83,61",,,"154,37",,,"172,41",,,"278,96",,,"176,85",,,"168,94",,,"433,62",,,"162,33",,,"58,40",,,"62,74",,,"83,85",
