,,,,,TVÖD Pflege,,,,,,,,BT-V Soz. & Erz. Dienst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BT-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Bezeichnung,,,P09,,,P08,,,P07,,,S18,,,S17,,,S16,,,S15,,,S14,,,S13,,,S12,,,S11B,,,S10,,,S09,,,S08B,,,S08A,,,S03,,,S02,,,,TVÖD,,Summe,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEST,,,,
0206,AUSLÄNDER- ANGELEGENHEITEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,39",,
0207,STATISTIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,29",,
0209,BRANDSCHUTZ UND FEUERWEHRTECHNISCHE HILFELEISTUNG,,,,,,,,,,,,,,,"1,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,02",,,"30,55",,
0210,RETTUNGSDIENST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,80",,,"21,54",,
0211,VETERINÄRWESEN UND LEBENSMITTEL- ÜBERWACHUNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,08",,
,,Summen: Produktbereich 02,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"1,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"3,82",,,"326,42",
,,Sicherheit und Ordnung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0301,LEISTUNGEN FÜR SCHULEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,41",,,,,,,,,,,,"0,50",,,"19,03",,,,,,,,,,,,"294,51",,
0302,ZENTRALE LEISTUNGEN FÜR SCHÜLER/-INNEN UND AM SCHULLEBEN BETEILIGTE,,,,,,,,,,,,,,,,,,,,,"3,00",,,,,,,,,"4,90",,,"5,45",,,,,,,,,,,,"1,45",,,,,,"0,50",,,,,,"33,07",,
,,Summen: Produktbereich 03,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"3,00",,,"0,00",,,"0,00",,,"36,31",,,"5,45",,,"0,00",,,"0,00",,,"0,50",,,"20,48",,,"0,00",,,"0,50",,,"0,00",,,"327,58",
,,Schulträgeraufgaben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0401,KULTURMANAGEMENT/ KULTURFÖRDERUNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,82",,
0402,VOLKSHOCHSCHULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,65",,,,,,,,,,,,,,,,,,,,,,,,"22,63",,
0403,WESTFÄLISCHE SCHULE FÜR MUSIK UND FÖRDERUNG DER STADTTEILMUSIKSCHULEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70,76",,
0404,STADTBÜCHEREI UND FÖRDERUNG VON BÜCHEREIEN FREIER TRÄGER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"62,73",,
0405,STADTMUSEUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,26",,
0406,STADTARCHIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,03",,
0408,GESCHICHTSORT VILLA TEN HOMPEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,52",,
,,Summen: Produktbereich 04,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,65",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"203,76",
,,Kultur und Wissenschaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0501,STÄDTISCHE ARBEITSGELEGENHEITEN AGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00",,,,,,,,,,,,,,,,,,,,,,,,,,,"8,70",,
