,,,,,TVÖD Pflege,,,,,,,,BT-V Soz. & Erz. Dienst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BT-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Bezeichnung,,,P09,,,P08,,,P07,,,S18,,,S17,,,S16,,,S15,,,S14,,,S13,,,S12,,,S11B,,,S10,,,S09,,,S08B,,,S08A,,,S03,,,S02,,,,TVÖD,,Summe,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEST,,,,
1001,BAUAUFSICHT UND BAURECHTLICHE BERATUNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,68",,
1002,DENKMALSCHUTZ UND DENKMALPFLEGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,80",,
1003,WOHNEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,00",,,"0,50",,,,,,,,,,,,,,,,,,,,,,,,"24,70",,
,,Summen: Produktbereich 10,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"2,00",,,"0,50",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"70,18",
,,Bauen und Wohnen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,ABWASSERBESEITIGUNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"208,57",,
,,Summen: Produktbereich 11,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"208,57",
,,Ver- und Entsorgung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,BEREITSTELLUNG VON VERKEHRSFLÄCHEN UND - ANLAGEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"153,81",,
,,Summen: Produktbereich 12,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"153,81",,
,,"Verkehrsflächen u. -anlagen,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ÖPNV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,GRÜN- UND FREIFLÄCHEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"156,21",,
1302,FRIEDHÖFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,68",,
1303,"NATUR, LANDSCHAFT, ERHOLUNG, WASSERSCHUTZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,63",,
1304,FLIEßENDE GEWÄSSER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,37",,
1305,WALD UND FORSTWIRTSCHAFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,50",,
,,Summen: Produktbereich 13,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"215,39",
,,Natur- und Landschaftspflege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1401,"ÜBERGREIFENDER UMWELTSCHUTZ, KLIMA, IMMISSION, BODEN, ABFALL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,00",,
,,Summen: Produktbereich 14,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"30,00",
,,Umweltschutz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,STADTHALLE HILTRUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,00",,
,,Summen: Produktbereich 15,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"2,00",
,,Wirtschaft und Tourismus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"0,50",,,"3,51",,,"0,75",,,"28,25",,,"22,54",,,"4,00",,,"54,91",,,"54,83",,,"24,00",,,"195,98",,,"73,34",,,"1,00",,,"19,40",,,"18,09",,,"387,32",,,"75,40",,,"50,17",,,"10,82",,,"3.634,92",
