,,Zahl der,Zahl der,Zahl der,Zahl der Beamten
Amtsbezeichnung,BesGr.,Beamten 2027,Beamten 2026,Beamten 2025,am 30.06.2025
Verwaltungsrat/-rätin auf Probe,A 13,-,"1,73",-,"3,50"
Brandrat/-rätin auf Probe,A 13,-,"2,00","2,00","2,00"
Baurat/-rätin auf Probe,A 13,-,-,"2,00",-
Medizinalrat/-rätin auf Probe,A 13,-,-,"0,50",-
Oberinspektor/-in auf Probe,A 10,"3,00","5,00","7,00","8,00"
Inspektor/-in auf Probe,A 9,"30,61","48,11","40,18","53,61"
Brandmeister/-in auf Probe,A 7,"25,00","28,00","41,92","38,82"
Sekretär/-in auf Probe,A 6,"4,44","4,44","7,40","3,22"
Summe,,"63,05","89,28","101,00","109,15"
,,,,,
