Bezeichnung,Art der Vergütung,,,Vorgesehen,,,Vorgesehen,,,Ist-Beset-,
,,,,für Jahr,,,für Jahr,,,zung,
,,,,2027,,,2026,,,01.10.2025,
Automechatroniker/in,Azubi TVöD,AZUBI,"3,00",,,"4,00",,,"3,00",,
Bachelor of Arts - Public Administra- tion,Azubi TVöD,AZUBI,"14,00",,,"16,00",,,"10,08",,
Bachelor of Arts - Soziale Arbeit/So- ziale Dienste,Anwä./Dienstanfänger,ANW.9-11,"2,50",,,"1,50",,,"2,00",,
Bachelor of Law,Anwä./Dienstanfänger,ANW.9-11,"103,00",,,"93,00",,,"69,00",,
Bachelor of Law,Azubi TVöD,AZUBI,"0,00",,,"0,00",,,"0,00",,
Bachelor of Law,Besoldungsordnung A,A7,"0,00",,,"0,00",,,"0,00",,
Bachelor of Law,Besoldungsordnung A,A9L1E2,"9,00",,,"10,00",,,"6,63",,
Bachelor of Law,TVÖD VKA,E09A,"0,00",,,"0,00",,,"0,00",,
Beamt(er/in) - Kommunalverwaltung (mittl. Dienst),Anwä./Dienstanfänger,ANW.A5-8,"13,00",,,"13,00",,,"12,55",,
Erzieher/in,Azubi PIA u. Co BT-V,AZUBIPIA,"67,00",,,"69,00",,,"50,00",,
Erzieher/in,Prakt.Soz/Erz BT-V,ERZIEH,"20,00",,,"20,00",,,"17,91",,
Fachangestellte/r für Bäderbetriebe,Azubi TVöD,AZUBI,"13,00",,,"13,00",,,"11,00",,
Fachangestellte/r für Medien- und In- formations Die,Azubi TVöD,AZUBI,"5,00",,,"7,00",,,"7,00",,
Fachkraft - Abwassertechnik,Azubi TVöD,AZUBI,"6,00",,,"6,00",,,"1,00",,
Feuerwehrbeamter/-beamtin (geh. techn. Dienst),Anwä./Dienstanfänger,ANW.9-11,"0,00",,,"0,00",,,"0,00",,
Feuerwehrbeamter/-beamtin (geh. techn. Dienst),Besoldungsordnung A,A12,"1,00",,,"2,00",,,"1,00",,
Feuerwehrbeamter/-beamtin (höh. techn. Dienst),Anwä./Dienstanfänger,AW13L2E2,"1,00",,,"1,00",,,"1,00",,
Feuerwehrbeamter/-beamtin (mittl. techn. Dienst),Anwä./Dienstanfänger,ANW.A5-8,"48,00",,,"42,00",,,"18,00",,
Feuerwehrbeamter/-beamtin (mittl. techn. Dienst),Besoldungsordnung A,A9L1E2,"4,00",,,"6,00",,,"5,00",,
Forstwirt/in,Azubi TVöD,AZUBI,"3,00",,,"4,00",,,"4,00",,
Hygienekontrolleur/in,Azubi TVöD,AZUBI,"2,00",,,"1,00",,,"2,00",,
Ingenieur/in - Umweltschutz/Umwelt- technik,Anwä./Dienstanfänger,ANW.9-11,"1,00",,,"0,00",,,"0,00",,
Kinderpfleger/in,Azubi PIA u. Co BT-V,AZUBIPIA,"20,00",,,"22,00",,,"19,00",,
Lebensmittelkontrolleur/in,Azubi TVöD,AZUBI,"2,00",,,"1,00",,,"0,00",,
Master of Arts - Applied History,Festgehälter,TVÖDFEST,"0,00",,,"0,00",,,"0,00",,
Master of Arts - Kultur und Manage- ment (MACA),Festgehälter,TVÖDFEST,"0,00",,,"0,00",,,"0,00",,
