Bezeichnung,,Art der Vergütung,,,,,,Vorgesehen,,,Vorgesehen,,,Ist-Beset-,
,,,,,,,,für Jahr,,,für Jahr,,,zung,
,,,,,,,,2027,,,2026,,,01.10.2025,
Master of Science - Bauingenieurwe- sen,,Anwä./Dienstanfänger,,ANW.9-11,,,"6,00",,,"6,00",,,"0,00",,
Notfallsanitäter/in,,Azubi Pflege TVöD,,AZUBIPFL,,,"15,00",,,"12,00",,,"9,00",,
Restaurator/in - Kunst- und Kulturgut,,Festgehälter,,TVÖDFEST,,,"0,00",,,"0,00",,,"0,00",,
Straßenbauer/in,,Azubi TVöD,,AZUBI,,,"0,00",,,"1,00",,,"1,00",,
Vermessungsbeamter/-beamtin (geh. techn. Dienst),,Anwä./Dienstanfänger,,ANW.9-11,,,"0,00",,,"0,00",,,"1,00",,
Vermessungsingenieur/in,,Anwä./Dienstanfänger,,ANW.9-11,,,"8,00",,,"6,00",,,"4,00",,
Vermessungsingenieur/in,,Azubi TVöD,,AZUBI,,,"0,00",,,"0,00",,,"0,00",,
Vermessungstechniker/in (Techni- ker/in),,Azubi TVöD,,AZUBI,,,"0,00",,,"1,00",,,"1,00",,
Vermessungstechniker/in - Vermes- sung,,Azubi TVöD,,AZUBI,,,"6,00",,,"6,00",,,"6,00",,
Verwaltungsangestellte/r (Kommu- nalverwaltung),,TVÖD VKA,,E09A,,,"28,35",,,"38,80",,,"24,15",,
Verwaltungsinformatiker/in,,Anwä./Dienstanfänger,,ANW.9-11,,,"6,00",,,"6,00",,,"1,00",,
,Summe,,,,,,,"406,85",,,"408,30",,,"287,32",
