Produktbereiche/Produktgruppen,Ordentliche Erträge,Ordentliche,ordentliches,Finanz-,Ergebnis der lfd. Verw- tätigkeit,Außer- ordentl. Ergebnis,Ergebnis des
,,Aufwendungen,Ergebnis,ergebnis,,,Teilhaushaltes*
,EUR,EUR,EUR,EUR,EUR,EUR,EUR
0401 Kulturmanagement / Kulturförderung,"551.820,00","7.279.090,00","6.727.270,00-",,"6.727.270,00-",,"6.727.270,00-"
0402 Volkshochschule,"2.861.500,00","4.155.760,00","1.294.260,00-",,"1.294.260,00-",,"1.294.260,00-"
0403 Westf. Schule für Musik,"2.774.040,00","7.867.750,00","5.093.710,00-",,"5.093.710,00-",,"5.093.710,00-"
0404 Stadtbücherei u. Förderung freier Träger,"753.620,00","6.587.450,00","5.833.830,00-",,"5.833.830,00-",,"5.833.830,00-"
0405 Stadtmuseum,"228.980,00","2.056.030,00","1.827.050,00-",,"1.827.050,00-",,"1.827.050,00-"
0406 Stadtarchiv,"39.940,00","1.177.770,00","1.137.830,00-",,"1.137.830,00-",,"1.137.830,00-"
0407 Theater Münster,"25.000,00","26.774.120,00","26.749.120,00-",,"26.749.120,00-",,"26.749.120,00-"
0408 Geschichtsort Villa ten Hompel,"193.690,00","937.780,00","744.090,00-",,"744.090,00-",,"744.090,00-"
04 Kultur und Wissenschaft,"7.428.590,00","56.835.750,00","49.407.160,00-",,"49.407.160,00-",,"49.407.160,00-"
0501 Leist. der Grundsicherung f. Arbeitsuchende,"200.555.350,00","230.309.560,00","29.754.210,00-",,"29.754.210,00-",,"29.754.210,00-"
0502 Sicherung Lebensunterhalt,"73.018.700,00","92.750.830,00","19.732.130,00-",,"19.732.130,00-",,"19.732.130,00-"
0503 Sicherung besonderer sozialer Bedarfe,"6.935.260,00","74.484.820,00","67.549.560,00-",,"67.549.560,00-",,"67.549.560,00-"
0504 Wohngeld,"3.000,00","2.721.750,00","2.718.750,00-",,"2.718.750,00-",,"2.718.750,00-"
05 Soziale Leistungen,"280.512.310,00","400.266.960,00","119.754.650,00-",,"119.754.650,00-",,"119.754.650,00-"
0601 Förderung von Kindern in Tagesbetreuung,"130.797.990,00","218.555.440,00","87.757.450,00-",,"87.757.450,00-",,"87.757.450,00-"
0602 Kinder- und Jugendarbeit,"28.077.860,00","47.688.370,00","19.610.510,00-",,"19.610.510,00-",,"19.610.510,00-"
0603 Förd. v. benachteiligten jungen Menschen,"548.010,00","10.941.970,00","10.393.960,00-",,"10.393.960,00-",,"10.393.960,00-"
0604 Familienförderung,"374.390,00","6.157.430,00","5.783.040,00-",,"5.783.040,00-",,"5.783.040,00-"
0605 Erzieh.u.wirtschaftl.Hilfen für Familien,"27.869.240,00","117.018.140,00","89.148.900,00-",,"89.148.900,00-",,"89.148.900,00-"
"06 Kinder-, Jugend- und Familienhilfe","187.667.490,00","400.361.350,00","212.693.860,00-",,"212.693.860,00-",,"212.693.860,00-"
0701 Gesundheitsdienste,"3.122.970,00","17.768.360,00","14.645.390,00-",,"14.645.390,00-",,"14.645.390,00-"
07 Gesundheitsdienste,"3.122.970,00","17.768.360,00","14.645.390,00-",,"14.645.390,00-",,"14.645.390,00-"
"0801 Sportentwicklung, Sportanlagen/-stätten","2.773.360,00","9.634.500,00","6.861.140,00-",,"6.861.140,00-",,"6.861.140,00-"
0802 Bäder,"2.357.730,00","9.125.540,00","6.767.810,00-",,"6.767.810,00-",,"6.767.810,00-"
08 Sportförderung,"5.131.090,00","18.760.040,00","13.628.950,00-",,"13.628.950,00-",,"13.628.950,00-"
"0901 Stadt-/Regionalentwicklung, Stadtplanung","1.952.330,00","11.004.180,00","9.051.850,00-",,"9.051.850,00-",,"9.051.850,00-"
"0902 Vermessung, Kataster und Geoinformation","1.241.910,00","9.237.770,00","7.995.860,00-",,"7.995.860,00-",,"7.995.860,00-"
"09 Räuml.Planung/Entwickl.,Geoinformation","3.194.240,00","20.241.950,00","17.047.710,00-",,"17.047.710,00-",,"17.047.710,00-"
1001 Bauaufsicht und baurechtliche Beratung,"3.471.700,00","8.116.470,00","4.644.770,00-",,"4.644.770,00-",,"4.644.770,00-"
1002 Denkmalschutz und Denkmalpflege,"414.000,00","1.892.410,00","1.478.410,00-",,"1.478.410,00-",,"1.478.410,00-"
1003 Wohnen,"343.590,00","6.853.120,00","6.509.530,00-",,"6.509.530,00-",,"6.509.530,00-"
10 Bauen und Wohnen,"4.229.290,00","16.862.000,00","12.632.710,00-",,"12.632.710,00-",,"12.632.710,00-"
1101 Abwasserbeseitigung,"89.245.950,00","54.850.200,00","34.395.750,00",,"34.395.750,00",,"34.395.750,00"
1102 Abfallwirtschaft (AWM),,,,"4.000.000,00","4.000.000,00",,"4.000.000,00"
11 Ver- und Entsorgung,"89.245.950,00","54.850.200,00","34.395.750,00","4.000.000,00","38.395.750,00",,"38.395.750,00"
1201 Bereitstellung Verkehrsflächen/-anlagen,"47.845.660,00","83.089.990,00","35.244.330,00-","5.000,00-","35.249.330,00-",,"35.249.330,00-"
"12 Verkehrsflächen und -anlagen, ÖPNV","47.845.660,00","83.089.990,00","35.244.330,00-","5.000,00-","35.249.330,00-",,"35.249.330,00-"
