Produktbereiche/Produktgruppen,Einzahlung,Auszahlung,Saldo aus,Einz. aus,Ausz. aus,Saldo aus,Finanzmittel-,Einz. aus Fi-,Ausz. aus Fi-,Saldo aus Fi-,Verpflich-
,aus lfd. Verw-,aus lfd. Verw-,lfd. Verw-,Investitions-,Investitions-,Investitions-,überschuss/,nanzierungs-,nanzierungs-,nanzierungs-,tungsermäch-
,tätigkeit,tätigkeit,tätigkeit,tätigkeit,tätigkeit,tätigkeit,-fehlbetrag,tätigkeit,tätigkeit,tätigkeit,tigungen
,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR
0101 Bezirksvertretungen/frei verfügb. Mittel,,404.560,404.560-,,,,404.560-,,,,
"0102 GF für polit. Gremien, internat. Beziehungen",267.850,5.636.750,5.368.900-,,2.000,2.000-,5.370.900-,,,,
"0103 OB, BM und Verwaltungsführung",210.000,8.094.340,7.884.340-,,7.340,7.340-,7.891.680-,,,,
0104 Gleichstellung aller Geschlechter,4.000,2.225.260,2.221.260-,,,,2.221.260-,,,,
0105 Personal- u. Schwerbehindertenvertretung,210.000,1.904.850,1.694.850-,,,,1.694.850-,,,,
0106 Wirtschaftlichkeitsprüfung und Revision,63.180,1.832.760,1.769.580-,,,,1.769.580-,,,,
0107 Public Relations,59.200,1.792.270,1.733.070-,,2.160,2.160-,1.735.230-,,,,
0108 Personal- und Organisationsmanagement,3.149.000,26.319.270,23.170.270-,,,,23.170.270-,,,,
0109 Finanz- und Beteiligungsmanagement,1.991.700,14.582.820,12.591.120-,,10.000,10.000-,12.601.120-,,,,
0110 Recht,682.860,7.410.000,6.727.140-,,,,6.727.140-,,,,
0111 Immobilienmanagement,19.872.500,99.723.790,79.851.290-,20.327.900,46.526.000,26.198.100-,106.049.390-,,,,
0113 Zentrale Dienste,1.557.300,20.526.760,18.969.460-,6.000,37.603.000,37.597.000-,56.566.460-,,,,
0114 Verwaltung der Kommunalen Stiftungen,500.000,503.260,3.260-,,,,3.260-,,,,
0115 IT-Management (citeq),,8.000,8.000-,8.247.280,9.689.900,1.442.620-,1.450.620-,,,,
0116 Migrations- u. Integrationsmanagement,599.800,1.287.690,687.890-,,,,687.890-,,,,
01 Innere Verwaltung,29.167.390,192.252.380,163.084.990-,28.581.180,93.840.400,65.259.220-,228.344.210-,,,,
0201 Ordnungsrechtliche Angelegenheiten,485.000,7.002.780,6.517.780-,,42.140,42.140-,6.559.920-,,,,
0202 Gewerberechtliche Angelegenheiten,1.330.000,2.018.230,688.230-,,,,688.230-,,,,
0203 Straßenverkehrsrechtliche Angelegenheit,16.999.000,11.331.940,5.667.060,,20.480,20.480-,5.646.580,,,,
0204 Bürgerangelegenheiten,5.960.620,8.407.600,2.446.980-,,2.500,2.500-,2.449.480-,,,,
0205 Standesamtsangelegenheiten,474.000,1.634.100,1.160.100-,,1.000,1.000-,1.161.100-,,,,
0206 Ausländerangelegenheiten,697.700,4.509.000,3.811.300-,,,,3.811.300-,,,,
0207 Statistik,550,685.810,685.260-,,,,685.260-,,,,
0208 Wahlen,489.500,873.040,383.540-,,5.000,5.000-,388.540-,,,,
0209 Brandschutz/feuerwehrt. Hilfeleistungen,1.004.050,32.553.110,31.549.060-,748.700,19.076.000,18.327.300-,49.876.360-,,,,
0210 Rettungsdienst,33.113.000,29.738.860,3.374.140,14.000,421.000,407.000-,2.967.140,,,,1.220.000-
0211 Veterinärw. u.Lebensmittelüberwachung,189.000,3.106.200,2.917.200-,4.000,22.000,18.000-,2.935.200-,,,,
02 Sicherheit und Ordnung,60.742.420,101.860.670,41.118.250-,766.700,19.590.120,18.823.420-,59.941.670-,,,,1.220.000-
0301 Leistungen für Schulen,2.952.250,37.331.220,34.378.970-,5.137.570,128.980.950,123.843.380-,158.222.350-,,,,41.545.000-
0302 Zentr.Leist. f. am Schulleben Beteiligte,745.080,15.341.110,14.596.030-,,2.900,2.900-,14.598.930-,,,,
03 Schulträgeraufgaben,3.697.330,52.672.330,48.975.000-,5.137.570,128.983.850,123.846.280-,172.821.280-,,,,41.545.000-
0401 Kulturmanagement / Kulturförderung,535.830,7.134.050,6.598.220-,4.334.000,3.785.310,548.690,6.049.530-,,,,1.000.000-
0402 Volkshochschule,2.861.500,4.018.900,1.157.400-,,25.430,25.430-,1.182.830-,,,,
0403 Westf. Schule für Musik,2.751.520,7.732.570,4.981.050-,18.840,239.660,220.820-,5.201.870-,,,,
0404 Stadtbücherei u. Förderung freier Träger,720.480,6.343.940,5.623.460-,1.925.600,2.466.250,540.650-,6.164.110-,,,,
0405 Stadtmuseum,225.830,1.907.760,1.681.930-,,96.900,96.900-,1.778.830-,,,,
0406 Stadtarchiv,38.420,1.032.620,994.200-,,5.430,5.430-,999.630-,,,,
0407 Theater Münster,,26.622.870,26.622.870-,,,,26.622.870-,,,,
0408 Geschichtsort Villa ten Hompel,153.300,841.280,687.980-,15.000,16.000,1.000-,688.980-,,,,
04 Kultur und Wissenschaft,7.286.880,55.633.990,48.347.110-,6.293.440,6.634.980,341.540-,48.688.650-,,,,1.000.000-
