Art der Verbindlichkeiten,Stand zu Beginn des Vorjahres (01.01.2025) -TEUR-,Voraussichtlicher,Voraussichtlicher,Voraussichtlicher
,,Stand,Stand,Stand
,,zu Beginn des,zum Ende des,zum Ende des
,,Haushaltsjahres,Haushaltsjahres,Haushaltsjahres
,,2026,2026,2027
,,(01.01.2026),(31.12.2026),(31.12.2027)
,,-TEUR-,-TEUR-,-TEUR-
,1,2,3,4
1. Anleihen,0,0,0,0
1.1 für Investitionen,0,0,0,0
1.2 zur Liquiditätssicherung,0,0,0,0
2. Verbindlichkeiten aus Krediten für Investitionen,1.222.216,1.427.200,1.786.548,1.969.629
2.1 von verbundenen Unternehmen,0,0,0,0
2.2 von Beteiligungen,0,0,0,0
2.3 von Sondervermögen,84,84,84,84
2.4 vom öffentlichen Bereich,27.500,27.500,27.500,27.500
2.5 von Kreditinstituten,1.194.632,1.399.616,1.758.964,1.942.045
3. Verbindlichkeiten aus Krediten zur Liquiditätssicherung,117.567,251.464,173.820,232.646
"4. Verbindlichkeiten aus Vorgängen, die Kreditaufnahmen wirtschaftlich gleich- kommen",438,438,438,438
5. Verbindlichkeiten aus Lieferungen und Leistungen,9.981,-,-,-
6. Verbindlichkeiten aus Transferleistungen,706,-,-,-
7. Sonstige Verbindlichkeiten,81.176,-,-,-
8. Erhaltene Anzahlungen,168.763,-,-,-
9. Summe aller Verbindlichkeiten,1.600.847,1.678.664,1.960.368,2.202.275
Nachrichtlich Haftungsverhältnisse aus der Bestellung von Sicherheiten: - Bürgschaften und Gewährverträge,15.400,12.400,10.500,8.600
