Ertrags- und Aufwandsarten,,Ergebnis 2023 (€),Haushaltsansatz 2024 (€),,davon Übertr.Ermächt.,Ergebnis 2024 (€),Vgl.fort.An./Erg.,Übertr. Ermächt.
,,,Original,fortgeschrieben,aus 2023 (€),,absolut,nach 2025 (€)
01,Steuern und ähnliche Abgaben,"690.400.883,59",707.280.000,707.280.000,0,"712.929.372,93",5.649.373+,0
02,+ Zuwendungen und allgemeine Umlagen,"249.540.974,28",300.564.780,300.564.780,0,"317.474.510,50",16.909.731+,0
03,+ Sonstige Transfererträge,"24.350.219,39",22.378.290,22.378.290,0,"24.133.596,76",1.755.307+,0
04,+ Öffentlich-rechtliche Leistungsentgelte,"150.313.405,28",163.017.630,163.017.630,0,"166.245.175,53",3.227.546+,0
05,+ Privatrechtliche Leistungsentgelte,"25.116.667,32",26.092.840,26.092.840,0,"26.700.089,47",607.249+,0
06,+ Kostenerstattungen und Kostenumlagen,"264.193.343,52",278.510.200,278.510.200,0,"282.865.394,45",4.355.194+,0
07,+ Sonstige ordentliche Erträge,"52.520.070,52",46.414.160,46.414.160,0,"54.481.738,36",8.067.578+,0
08,+ Aktivierte Eigenleistungen,"2.848.582,72",4.172.000,4.172.000,0,"4.247.070,93",75.071+,0
09,+/- Bestandsveränderungen,"0,00",0,0,0,"0,00",0+,0
10,= Ordentliche Erträge,"1.459.284.146,62",1.548.429.900,1.548.429.900,0,"1.589.076.948,93",40.647.049+,0
11,- Personalaufwendungen,"369.819.536,26",373.573.690,373.573.690,0,"387.856.382,84",14.282.693+,0
12,- Versorgungsaufwendungen,"33.219.871,64",31.674.520,31.674.520,0,"36.471.289,82",4.796.770+,0
13,- Aufwendungen für Sach- und Dienstleistungen,"154.733.079,44",162.266.970,173.669.860,11.402.890,"165.449.909,35",8.219.951 -,9.507.670
14,- Bilanzielle Abschreibungen,"86.398.894,67",86.370.270,86.370.270,0,"88.375.001,92",2.004.732+,0
15,- Transferaufwendungen,"756.009.808,34",847.079.390,854.746.390,7.667.000,"850.386.126,61",4.360.263-,4.070.500
16,- Sonstige ordentliche Aufwendungen,"90.058.851,78",91.241.950,96.744.153,5.502.203,"106.862.065,43",10.117.912+,3.257.979
17,= Ordentliche Aufwendungen,"1.490.240.042,13",1.592.206.790,1.616.778.883,24.572.093,"1.635.400.775,97",18.621.893+,16.836.149
18,= Ordentliches Ergebnis (= Zeilen 10 und 17),"30.955.895,51-",43.776.890-,68.348.983-,24.572.093-,"46.323.827,04-",22.025.156+,16.836.149-
19,+ Finanzerträge,"16.342.167,56",17.133.180,17.133.180,0,"17.159.672,87",26.493+,0
20,- Zinsen und sonstige Finanzaufwendungen,"22.620.278,19",30.007.000,30.407.000,400.000,"28.366.889,21",2.040.111 -,0
21,= Finanzergebnis (= Zeilen 19 und 20),"6.278.110,63-",12.873.820-,13.273.820-,400.000-,"11.207.216,34-",2.066.604+,0
22,= Ergebnis der laufenden Verwaltungstätigkeit (= Zeilen 18 und 21),"37.234.006,14-",56.650.710-,81.622.803-,24.972.093-,"57.531.043,38-",24.091.760+,16.836.149-
23,+ Außerordentliche Erträge,"315.838,71",0,0,0,"0,00",0+,0
24,- Außerordentliche Aufwendungen,"0,00",0,0,0,"0,00",0+,0
25,= Außerordentliches Ergebnis (= Zeilen 23 und 24),"315.838,71",0,0,0,"0,00",0+,0
26,= Jahresergebnis (= Zeilen 22 und 25),"36.918.167,43-",56.650.710-,81.622.803-,24.972.093-,"57.531.043,38-",24.091.760+,16.836.149-
27,- globaler Minderaufwand,"0,00",0,0,0,"0,00",0+,0
28,= Jahresergebnis nach Abzug globaler Minderaufwand (= Zeilen 26 und 27),"36.918.167,43-",56.650.710-,81.622.803-,24.972.093-,"57.531.043,38-",24.091.760+,16.836.149-
