Ein- und Auszahlungsarten,,Ergebnis 2023 (€),Haushaltsansatz 2024 (€),,davon Übertr.Ermächt.,Ergebnis 2024 (€),Vgl.fort.An./Erg.,Übertr. Ermächt.
,,,Original,fortgeschrieben,aus 2023 (€),,absolut,nach 2025 (€)
01,Steuern und ähnliche Abgaben,"699.578.047,52",707.280.000,707.280.000,0,"710.221.193,59",2.941.194+,0
02,+ Zuwendungen und allgemeine Umlagen,"218.585.829,78",268.591.940,268.591.940,0,"276.917.715,54",8.325.776+,0
03,+ Sonstige Transfereinzahlungen,"23.366.456,45",22.378.290,22.378.290,0,"23.897.297,36",1.519.007+,0
04,+ Öffentlich-rechtliche Leistungsentgelte,"131.395.638,55",142.891.860,142.891.860,0,"141.530.266,37",1.361.594-,0
05,+ Privatrechtliche Leistungsentgelte,"25.229.005,86",26.078.690,26.078.690,0,"26.144.745,35",66.055+,0
06,"+ Kostenerstattungen, Kostenumlagen","261.083.201,56",278.510.200,278.510.200,0,"280.686.000,40",2.175.800+,0
07,+ Sonstige Einzahlungen,"37.942.939,27",41.346.480,41.346.480,0,"27.544.336,18",13.802.144-,0
08,+ Zinsen und sonstige Finanzeinzahlungen,"16.315.744,98",17.133.180,17.133.180,0,"17.149.756,69",16.577+,0
09,= Einzahlungen aus lfd. Verwaltungstätigkeit,"1.413.496.863,97",1.504.210.640,1.504.210.640,0,"1.504.091.311,48",119.329-,0
10,- Personalauszahlungen,"321.680.006,74",342.804.330,342.804.330,0,"345.538.867,62",2.734.538+,0
11,- Versorgungsauszahlungen,"35.219.054,35",31.428.980,31.428.980,0,"38.905.063,87",7.476.084+,0
12,- Auszahlungen für Sach- und Dienstleistungen,"156.743.819,15",162.266.970,173.862.042,11.595.072,"170.430.762,92",3.431.279-,9.726.563
13,- Zinsen und sonstige Finanzauszahlungen,"22.620.278,19",30.007.000,30.407.000,400.000,"28.366.889,21",2.040.111 -,38.000
14,- Transferauszahlungen,"752.867.102,05",843.578.420,853.094.420,9.516.000,"849.824.005,36",3.270.415-,4.165.500
15,- Sonstige Auszahlungen,"69.104.990,66",114.474.140,120.008.354,5.534.214,"103.955.543,64",16.052.811-,3.802.579
16,= Auszahlungen aus lfd. Verwaltungstätigkeit,"1.358.235.251,14",1.524.559.840,1.551.605.126,27.045.286,"1.537.021.132,62",14.583.994-,17.732.642
17,= Saldo aus laufender Verwaltungstätigkeit (= Zeilen 9 und 16),"55.261.612,83",20.349.200-,47.394.486-,27.045.286-,"32.929.821,14-",14.464.665+,17.732.642-
18,+ Einzahlungen aus Zuwendungen für Investitionsmaßnahmen + Einzahlungen aus der Veräußerung von Sachanlagen + Einzahlungen aus der Veräußerung von Finanzanlagen + Einzahlungen von Beiträgen u.ä. Entgelten + Sonstige Investitionseinzahlungen,"60.381.771,75",65.099.840,65.099.840,0,"63.096.452,30",2.003.388-,0
19,,"559.927,00",631.420,631.420,0,"587.659,15",43.761-,0
20,,"7.275.499,45",11.838.490,11.838.490,0,"904.666,44",10.933.824-,0
21,,"951.921,74",6.120.020,6.120.020,0,"2.509.508,49",3.610.512-,0
22,,"4.913.885,24",14.500.000,14.500.000,0,"7.335.805,03",7.164.195-,0
23,= Einzahlungen aus Investitionstätigkeit,"74.083.005,18",98.189.770,98.189.770,0,"74.434.091,41",23.755.679-,0
24,- Auszahlungen für den Erwerb von Grundstücken und Gebäuden - Auszahlungen für Baumaßnahmen - Auszahlungen für den Erwerb von beweglichem Anlagevermögen - Auszahlungen für den Erwerb von Finanzanlagen - Auszahlungen von aktivierbaren Zuwendungen - Sonstige Investitionsauszahlungen,"28.515.097,56",7.508.510,15.370.110,7.861.600,"6.972.886,22",8.397.224-,11.796.316
25,,"167.161.061,38",232.850.010,399.575.295,166.725.285,"189.255.705,82",210.319.589-,158.562.658
26,,"15.417.623,71",15.903.630,28.249.603,12.345.973,"13.820.165,68",14.429.437-,13.174.309
27,,"17.056.783,93",79.401.250,80.651.250,1.250.000,"63.414.007,28",17.237.243-,5.250.000
28,,"18.059.453,34",19.240.500,25.526.133,6.285.633,"29.118.589,93",3.592.457+,8.224.885
29,,"0,00",1.835.000,1.835.000,0,"10.208,34",1.824.792-,0
