AKTIVA,,PASSIVA
,,
"0. Aufwendungen zur Erhaltung der gemeindlichen Leistungsfähigkeit 33.665.838,71",,1. Eigenkapital
"1. Anlagevermögen 4.077.286.819,41",,"1.1 Allgemeine Rücklage 690.249.163,69 1.2 Sonderrücklagen 3.371.000,00 1.3 Ausgleichsrücklage 107.159.474,68 1.4 Bilanzieller Verlustvortrag 0,00 1.5 Jahresüberschuss/Jahresfehlbetrag -57.531.043,38 SUMME 743.248.594,99"
"1.1 Immaterielle Vermögensgegenstände 935.884,88 1.2 Sachanlagen 3.278.839.874,44 1.2.1 Unbebaute Grundstücke und grundstücksgleiche Rechte 1.2.1.1 Grünflächen 142.317.710,17 1.2.1.2 Ackerland 112.073.455,67 1.2.1.3 Wald, Forsten 20.802.212,02 1.2.1.4 Sonstige unbebaute Grundstücke 54.677.037,20 SUMME 329.870.415,06 1.2.2 Bebaute Grundstücke und grundstücksgleiche Rechte 1.2.2.1 Kinder- und Jugendeinrichtungen 104.550.849,73 1.2.2.2 Schulen 498.989.970,35 1.2.2.3 Wohnbauten 15.280.093,20 1.2.2.4 Sonstige Dienst-, Geschäfts- und Betriebsgebäude 390.085.696,25 SUMME 1.008.906.609,53 1.2.3 Infrastrukturvermögen 1.2.3.1 Grund und Boden des Infrastrukturvermögens 318.761.913,51 1.2.3.2 Brücken und Tunnel 35.728.719,24 1.2.3.3 Gleisanlagen mit Streckenausrüstung und Sicherheitsanlagen 0,00 1.2.3.4 Entwässerungs- und Abwasserbeseitigungsanlagen 629.442.975,19 1.2.3.5 Straßennetz mit Wegen, Plätzen und Verkehrslenkungsanlagen 416.883.105,33 1.2.3.6 Sonstige Bauten des Infrastrukturvermögens 21.836.404,35 SUMME 1.422.653.117,62 1.2.4 Bauten auf fremdem Grund und Boden 1.518.144,79 1.2.5 Kunstgegenstände, Kulturdenkmäler 18.146.841,74 1.2.6 Maschinen und technische Anlagen, Fahrzeuge 46.541.141,13 1.2.7 Betriebs- und Geschäftsausstattung 52.362.223,89 1.2.8 Geleistete Anzahlungen, Anlagen im Bau 398.841.380,68 SUMME 517.409.732,23 1.3 Finanzanlagen 1.3.1 Anteile an verbundenen Unternehmen 497.553.989,14 1.3.2 Beteiligungen 37.693.846,24 1.3.3 Sondervermögen 20.683.317,31 1.3.4 Wertpapiere des Anlagevermögens 60.766.156,36 1.3.5 Ausleihungen 1.3.5.1 an verbundene Unternehmen 178.929.128,46 1.3.5.2 an Beteiligungen 1.829.220,00 1.3.5.3 an Sondervermögen 0,00 1.3.5.4 Sonstige Ausleihungen 55.402,58 SUMME 797.511.060,09",,
,,2. Sonderposten
,,"2.1 für Zuwendungen 649.095.440,96 2.2 für Beiträge 511.857.617,34 2.3 für den Gebührenausgleich 5.331.441,51 2.4 Sonstige Sonderposten 7.998.169,18 SUMME 1.174.282.668,99"
,,3. Rückstellungen
,,"3.1 Pensionsrückstellungen 791.957.194,00 3.2 Rückstellungen für Deponien und Altlasten 0,00 3.3 Instandhaltungsrückstellungen 5.988.323,05 3.4 Sonstige Rückstellungen 49.988.666,14 SUMME 847.934.183,19"
,,4. Verbindlichkeiten
,,"4.1 Anleihen 4.1.1 für Investitionen 0,00 4.1.2 zur Liquiditätssicherung 0,00 4.2 Verbindlichkeiten aus Krediten für Investitionen 4.2.1 von verbundenen Unternehmen 0,00 4.2.2 von Beteiligungen 0,00 4.2.3 von Sondervermögen 84.363,16 4.2.4 vom öffentlichen Bereich 27.500.000,00 4.2.5 von Kreditinstituten 1.194.632.072,75 4.3 Verbindlichkeiten aus Krediten zur Liquiditätssicherung 117.566.810,18 4.4 Verbindlichkeiten aus Vorgängen, die Kreditaufnahmen wirtschaftlich gleichkommen 437.694,34 4.5 Verbindlichkeiten aus Lieferungen und Leistungen 9.981.411,96 4.6 Verbindlichkeiten aus Transferleistungen 705.754,50 4.7 Sonstige Verbindlichkeiten 81.176.166,83 4.8 Erhaltene Anzahlungen 168.762.846,61 SUMME 1.600.847.120,33"
,,"5. Passive Rechnungsabgrenzung 71.930.481,07"
,,
2. Umlaufvermögen,,
"2.1 Vorräte 2.1.1 Roh-, Hilfs- und Betriebsstoffe, Waren 19.786.783,66 2.1.2 Geleistete Anzahlungen 0,00 2.2 Forderungen und sonstige Vermögensgegenstände 2.2.1.Öffentlich-rechtliche Forderungen und Forderungen aus Transferleistungen 80.134.253,47 2.2.2.Privatrechtliche Forderungen 11.206.050,98 2.2.3 Sonstige Vermögensgegenstände 45.074.716,49 2.3 Wertpapiere des Umlaufvermögens 0,00 2.4 Liquide Mittel 42.342.850,94 SUMME 198.544.655,54",,
"3. Aktive Rechnungsabgrenzung 128.745.734,91",,
"4. Nicht durch Eigenkapital gedeckter Fehlbetrag 0,00",,
,,
"BILANZSUMME 4.438.243.048,57",,"BILANZSUMME 4.438.243.048,57"
