,Planansatz,Planansatz,Rechnungs- ergebnis 2024 €
,2026,2025,
,€,€,
1. Umsatzerlöse,73.794.000,67.562.000,72.780.839
2. Erhöhung oder Verminderung des Bestandes an fertigen Erzeugnissen,0,0,5.675
3. Sonstige betriebliche Erträge davon Auflösungen aus Verbindlichkeiten Gebührenüberschüsse,7.828.000,8.036.000,963.149
,7.094.000,7.027.000,0
"4. Materialaufwendungen a) Aufwendungen für Roh-, Hilfs- und Be- triebsstoffe b) Aufwendungen für bezogene Leistungen",7.040.000,6.409.000,5.902.021
,18.378.000,18.128.000,19.096.502
5. Personalaufwendungen a) Löhne und Gehälter b) Soziale Abgaben und Aufwendungen für Altersversorgung und Unterstützung,26.826.000,24.554.000,22.614.910
,8.151.000,7.520.000,6.565.757
6. Abschreibungen auf immaterielle Vermö- gensgegenstände des Anlagevermögens und Sachanlagen,9.789.000,9.247.000,8.694.230
7. Sonstige betriebliche Aufwendungen,6.825.000,6.609.000,5.985.432
8. Sonstige Zinsen u. ä. Erträge,0,650.000,1.421.222
9. Zinsen u. ä. Aufwendungen,595.000,64.000,37.791
10. Erg. der gewöhnlichen Geschäftstätigkeit,4.018.000,3.717.000,6.274.242
11. Steuern vom Einkommen und vom Ertrag,20.000,0,254.185
12. Sonstige Steuern,310.000,86.000,308.160
13. Jahresergebnis,3.688.000,3.631.000,5.711.897
