,Investitionsplan 2026,Nachrichtlich: Investitionsplan 2025
2.2.4 Sonstiges,5.000 €,2.500 €
"3 Infrastruktur, Werkstatt & Verwaltung 3.1 Infrastruktur 3.1.1 Baumaßnahmen 3.1.2 Sonstiges 3.2 Werkstatt 3.2.1 Werkstatteinrichtung 3.2.2 Baumaßnahmen 3.2.3 Sonstiges 3.3 Verwaltung 3.3.1 Betriebs- und Geschäftsausstattung 3.3.2 Baumaßnahmen 3.3.3 Sonstiges",3.269.500 €,1.580.000 €
,1.500.000 €,450.000 €
,1.500.000 €,450.000 €
,0 €,0 €
,1.200.500 €,380.000 €
,180 .500 €,1 60.000 €
,1.000.000 €,200.000 €
,20.000 €,20.000 €
,569.000 €,750.000 €
,557.000 €,730.000 €
,0 €,0 €
,12.000 €,20.000 €
