Entgeltgruppe,Stellen 2026,,Abweichungen,,Stellen 2025,,Ist-Besetzung,,,Vermerke / Er-,
,,,gegenüber 2025,,,,30.06.2025,,,läuterungen,
TVÖDFEST,"2,00",-,,,"2,00","2,00",,,,,
EGr. 15,"1,00",-,,,"1,00","1,00",,,,,
EGr. 14,"6,00","+ 1,00",,,"5,00","3,76",,,,,
EGr. 13,"2,00",-,,,"2,00","2,00",,,,,
EGr. 12,"8,00","+ 2,00",,,"6,00","6,14",,,,,
EGr. S11b,"1,00",-,,,"1,00","1,19",,,,,
EGr. 11,"8,50",-,,,"8,50","7,52",,,,,
EGr. 10,"9,50","- 1,00",,,"10,50","9,50",,,,,
EGr. 9c,"12,00","+ 2,00",,,"10,00","9,20",,,,,
EGr. 9b,"9,00","+ 2,00",,,"7,00","7,00",,,,,
EGr. 9a,"16,0 0",-,,,"1 6, 00","16,00",,,,,
EGr. 8,"22,00","+ 1,00",,,"21,00","18,59",,,,,
EGr. 7,"13,00","+ 3,00",,,"10,00","9,25",,,,,
EGr. 6,"189,00",-,,,"189,00","190,43",,,,,
EGr. 4,"171,43",-,,,"171,43","170,72",,,,,
Summe,"470,43","+ 10,00",,,"460,43","454,30",,,,,
nachrichtlich: Auszubildende,"21,00","+ 2,00",,,"19,00","9,00",,,,,
