,Gesellschaft:citeq,citeq,,,,,
Nr.,AngabeninEURO,Plan,Plan,Plan,Plan,Plan,Plan
,,2024,2025,2026,2027,2028,2029
1,Umsatzerlöse,52.691.320,54.308.850,55.287.170,55.959.910,54.196.370,55.525.160
2,"Bestandsveränderungen,aktivierte Eigenleistungen",0,0,0,0,0,0
3,sonstigebetrieblicheErträge,81.670,140.000,140.000,140.000,140.000,140.000
4,Gesamtleistung,52.772.990,54.448.850,55.427.170,56.099.910,54.336.370,55.665.160
5,Materialaufwand,17.481.480,20.049.150,19.496.640,19.444.510,18.150.030,18.779.300
6,Personalaufwand,26.928.300,23.763.080,24.676.920,25.630.620,26.580.160,27.599.920
7,Abschreibungen,4.606.790,6.510.030,6.317.860,6.522.440,5.441.100,5.130.770
8,sonstigebetrieblicheAufwendun- gen,1.520.680,1.669.020,1.494.020,1.508.230,1.522.640,1.537.220
9,ErgebnisvorZinsenu.Steuern,2.235.740,2.457.570,3.441.730,2.994.110,2.642.440,2.617.950
10,sonstigeZinsenundähnlicheEr- träge,326.480,0,0,0,0,0
11,ZinsenundähnlicheAufwendun- gen,1.620.790,1.631.150,1.731.420,1.734.290,1.736.440,1.737.080
12,ErgebnisdergewöhnlichenGe- schäftstätigkeit,941.430,826.420,1.710.310,1.259.820,906.000,880.870
13,außerordentlicheErträge,0,0,0,0,0,0
14,außerordentlicheAufwendungen,0,0,0,0,0,0
15,außerordentlichesErgebnis,0,0,0,0,0,0
16,ErgebnisvorSteuern(EBT),941.430,826.420,1.710.310,1.259.820,906.000,880.870
17,SteuernvomEinkommenundvom Ertrag,30.900,39.400,39.400,39.400,39.400,39.400
18,sonstigeSteuern,790,790,790,790,790,790
19,Jahresüberschuss/Jahresfehl- betrag,909.740,786.230,1.670.120,1.219.630,865.810,840.680
