,Gesellschaft:citeq,Münster,,,,,
Nr.,AngabeninEURO,Plan,Plan,Plan,Plan,Plan,Plan
,,2024,2025,2026,2027,2028,2029
1,Umsatzerlöse,20.624.990,19.033.560,21.398.750,22.099.870,21.852.400,22.822.730
2,"Bestandsveränderungen,aktivierte Eigenleistungen",0,0,0,0,0,0
3,sonstigebetrieblicheErträge,81.670,140.000,140.000,140.000,140.000,140.000
4,Gesamtleistung,20.706.660,19.173.560,21.538.750,22.239.870,21.992.400,22.962.730
5,Materialaufwand,6.683.970,7.609.760,8.220.880,8.149.280,7.249.170,7.843.710
6,Personalaufwand,10.056.530,6.887.040,7.812.510,8.418.650,9.022.140,9.650.330
7,Abschreibungen,2.836.640,2.660.940,3.147.270,3.636.450,3.967.280,3.677.150
8,sonstigebetriebliche.Aufwendun- gen,610.320,625.170,549.060,554.310,559.630,565.030
9,ErgebnisvorZinsenu.Steuern,519.200,1.390.650,1.809.030,1.481.180,1.194.180,1.226.510
10,sonstigeZinsenundähnlicheEr- träge,323.150,0,0,0,0,0
11,ZinsenundähnlicheAufwendun- gen,480.390,615.920,653.780,654.870,655.680,655.920
12,ErgebnisdergewöhnlichenGe- schäftstätigkeit,361.960,774.730,1.155.250,826.310,538.500,570.590
13,außerordentlicheErträge,0,0,0,0,0,0
14,außerordentlicheAufwendungen,0,0,0,0,0,0
15,außerordentlichesErgebnis,0,0,0,0,0,0
16,ErgebnisvorSteuern(EBT),361.960,774.730,1.155.250,826.310,538.500,570.590
17,SteuernvomEinkommenundvom Ertrag,8.460,760,760,760,760,760
18,sonstigeSteuern,430,430,430,430,430,430
19,Jahresüberschuss/Jahresfehl- betrag,353.070,773.540,1.154.060,825.120,537.310,569.400
