,,Plan,,,Plan,,,,Rechnungs-
,,,,,,,,,ergebnis
,,,2026,,,2025,,,2024
,,,EUR,,,EUR,,,EUR
1. Umsatzerlöse,,885.400,,,713.791,,,810.812,
Erhöhung des Bestandes an fertigen 2. und unfertigen Erzeugnissen,,0,,,0,,,0,
3. Sonstige betriebliche Erträge,,2.050,,,2.070,,,277.630,
4. Erhaltene Zuweisungen,,3.934.778,,,3.637.102,,,3.770.250,
5. Gesamtleistung,,4.822.228,,,4.352.963,,,4.858.692,
"6. Materialaufwand a) Roh-, Hilfs- und Betriebsstoffe b) Aufwendungen für bezog. Leistun- gen",,17.900 452.700,,,17.100 303.130,,,20.017 610.458,
7. Personalaufwendungen a) Löhne und Gehälter b) Soziale Abgaben und Aufwendun- gen f. Altersversorgung und Unterstüt- zung,,2.833.227 760.058,,,2.500.291 672.275,,,2.282.584 583.051,
8. Abschreibungen,,14.920,,,16.000,,,14.920,
9. Sonstige betriebliche Aufwendungen,,931.272,,,908.166,,,1.112.518,
10. Gegebene Zuschüsse,,36.000,,,36.000,,,49.000,
11. Zinsen u.ä. Erträge,,28.150,,,50.000,,,72.523,
12. Zinsen u.ä. Aufwendungen,,0,,,0,,,3,
13. Steuern von Einkommen und Ertrag,,3.000,,,30.000,,,23.267,
14.,Jahresergebnis,-198.699,,,-80.000,,,94.802,
