,,Plan,,,Plan,,,Plan,,,Plan,,,Plan
,,2026,,,2027,,,2028,,,2029,,,2030
,,EUR,,,EUR,,,EUR,,,EUR,,,EUR
Umsatzerlöse,885.400,,,903.108,,,921.170,,,939.594,,,958.385,
Erhöhung des Bestandes an ferti- gen und unfertigen Erzeugnissen,0,,,0,,,0,,,0,,,0,
Sonstige betriebliche Erträge,2.050,,,2.050,,,2.050,,,2.050,,,2.050,
Erhaltene Zuweisungen,3.934.778,,,3.982.874,,,4.062.531,,,4.143.782,,,4.226.657,
Gesamtleistung,4.822.228,,,4.888.032,,,4.985.751,,,5.085.425,,,5.187.093,
Materialaufwand,470.600,,,480.012,,,489.612,,,499.404,,,509.393,
Personalaufwendungen,3.593.285,,,3.541.391,,,3.594.512,,,3.648.430,,,3.703.156,
Abschreibungen,14.920,,,14.920,,,14.920,,,14.920,,,14.920,
Sonstige betriebliche Aufwendun- gen,931.272,,,949.897,,,968.895,,,988.273,,,1.008.039,
Gegebene Zuschüsse,36.000,,,36.000,,,36.000,,,36.000,,,36.000,
Zinsen u.ä. Erträge,28.150,,,23.110,,,20.180,,,17.570,,,15.310,
Zinsen u.ä. Aufwendungen,0,,,0,,,0,,,0,,,0,
Steuern vom Einkommen und Er- trag,3.000,,,3.060,,,3.121,,,3.184,,,3.247,
Jahresergebnis,-198.699,,,-114.139,,,-101.130,,,-87.216,,,-72.352,
