Entgeltgruppe,,Stellen 2026,Stellen 2025,,Veränderung gegenüber 2025,,,Ist-Besetzung am 30.06.2025,,
TVÖDFEST,,"1,00","1,00",,"0,00",,,"1,00",,
E15,,"1,00","1,00",,"0,00",,,"1,00",,
E14,,"3,00","3,00",,"0,00",,,"2,85",,
E13,,"2,00","2,00",,"0,00",,,"2,00",,
E12,,"3,00","3,00",,"0,00",,,"3,00",,
E11,,"5,79","5,25",,"0,54",,,"5,18",,
E10,,"3,00","3,63",,"-0,63",,,"3,63",,
E09C,,"0,50","0,50",,"0,00",,,"0,69",,
E09B,,"2,00","2,00",,"0,00",,,"1,64",,
E09A,,"1,87","1,51",,"0,36",,,"1,32",,
E08,,"3,23","3,50",,"-0,27",,,"3,00",,
E07,,"7,68","7,68",,"0,00",,,"7,28",,
E03,,"0,54","0,54",,"0,00",,,"0,54",,
,Summe,"34,61","34,61",,,"0,00",,,"33,13",
