Aufwendungen,,,,,,,,,,,
Hilfs-undBetriebsstoffe,,,,,,,,,,"1.041.580,13","1.026.187,33"
BezogeneLeistungen,,,,,,,,,,"1.834.566,17","1.269.651,25"
Personalaufwendungen,,,,,,,,,,"26.084.075,31",25.938.913
Abschreibungen,,,,,,,,,,"830.000,00","830.000,00"
SonstigebetrieblicheAufwendungen,,,,,,,,,,"4.149.121,16","3.991.497,00"
SonstigeSteuern,,,,,,,,,,"2.000,00","2.000,00"
ZinsenundähnlicheAufwendungen,,,,,,,,,,0,0
,,,,,,,,,,,
Gesamt,,,,,,,,,,"33.941.342,77","33.058.248,92"
,,,,,,,,,,,
ErgebnisdergewöhnlichenGeschäftstätigkeit,,,,,,,,,,"-1.197.740,96","-1.352.942,79"
,,,,,,,,,,,
Jahresfehlbetrag,,,,,,,,,,"-1.197.740,96","-1.352.942,79"
