,Plan,Plan,Plan,Plan,Plan
,25/26,26/27,27/28,28/29,29/30
Jahresfehlbetrag (Erlöse<Aufwendungen),"1.197.740,96","1.287.286,29","1.363.537,67","1.437.854,88","1.505.948,79"
Investitionen (ausInvestitionsplan-Mit- telbedarf),"875.000,00","860.000,00","850.000,00","830.000,00","850.000,00"
TilgungDarlehn(Fremdmit- tel),"830.000,00","830.000,00","830.000,00","830.000,00","830.000,00"
AusschüttungandieStadt Münster,"0,00","0,00","0,00","0,00","0,00"
Einzahlungenineinen Fonds (ZuführungPensions-und Beihilferückstellungen),"232.200,00","239.862,60","243.460,54","247.112,45","250.819,13"
Entnahmen,"0,00","0,00","0,00","0,00","0,00"
,,,,,
Summe Auszahlungen,"3.134.940,96","3.217.148,89","3.286.998,21","3.344.967,33","3.436.767,93"
