,Plan,Plan,Plan,Plan,Plan
,24/25,25/26,26/27,27/28,28/29
Jahresüberschuss (Erlöse>Aufwendungen),"0,00","0,00","0,00","0,00","0,00"
Abschreibungen(Mittelfrei- setzung),"830.000,00","830.000,00","830.000,00","830.000,00","830.000,00"
ZuführungzuPensions- undBeihilferückstellungen,"0,00","0,00","0,00","0,00","0,00"
InvestitionszuschüsseBe- triebskostenzuschuss,"649.000,00","649.000,00","649.000,00","649.000,00","649.000,00"
Sanierungs-,"140.000,00","155.000,00","155.000,00","155.000,00","155.000,00"
Darlehnsauszahlungen (Fremdmittelaufnahme),"1.515.940,96","1.583.148,89","1.652.998,21","1.710.967,33","1.802.767,93"
Einlagen,"0,00","0,00","0,00","0,00","0,00"
,,,,,
SummeDeckung,"3.134.940,96","3.217.148,89","3.286.998,21","3.344.967,33","3.436.767,93"
,,,,,
VeränderungLiquidität,"0,00","0,00","0,00","0,00","0,00"
,,,,,
KumulierterMittelbedarf/,,,,,
Mittelfreisetzung,,,,,
