EntgGr,,,,,ZahlderStellen 2024/25,,,Ist-Besetzung am30.06.2024,,,ZahlderStellen 2025/26,,
,Theater,,,,,,,,,,,,
TVÖDFest,,,,,"0,00",,,"0,00",,,"1,00",,
E12,,,,,"1,00",,,"1,00",,,"1,50",,
E11,,,,,"1,00",,,"1,00",,,"2,50",,
E10,,,,,"1,00",,,"1,00",,,"0,00",,
E09C,,,,,"2,00",,,"2,00",,,"2,00",,
E09B,,,,,"2,00",,,"0,75",,,"1,00",,
E09A,,,,,"15,50",,,"14,65",,,"15,50",,
E08,,,,,"2,00",,,"2,00",,,"2,00",,
E07,,,,,"25,50",,,"23,92",,,"25,00",,
E06,,,,,"33,89",,,"32,87",,,"54,39",,
E05,,,,,"31,49",,,"31,13",,,"10,49",,
E04,,,,,"3,39",,,"3,39",,,"3,70",,
E03,,,,,"6,31",,,"7,02",,,"6,00",,
E02,,,,,"2,47",,,"2,97",,,"2,47",,
Summe,,,,,"127,55",,,"123,70",,,"127,55",,
,Orchester,,,,,,,,,,,,
SV,,,,,"4,00",,,"4,00",,,"4,00",,
TVKB,,,,,"63,00",,,"60,18",,,"63,00",,
E09B,,,,,"1,00",,,"1,00",,,"1,00",,
E05,,,,,"3,50",,,"3,50",,,"3,50",,
Summe,,,,,"71,50",,,"68,68",,,"71,50",,
,Insgesamt,,,,,"199,05",,,"192,38",,,"199,05",
nachrichtl.:Auszubildende,,,,,"5,00",,,"2,00",,,"4,00",,
nachrichtl.:BFD,,,,,"2,00",,,"2,00",,,"2,00",,
nachrichtl.:FSJ,,,,,"2,00",,,"2,00",,,"3,00",,
