Beteiligungen *),Jahresabschluss 2023,,Jahresabschluss 2024,,Wirtschaftsplan 2025,
,Umsatz,Ergebnis,Umsatz,Ergebnis,Umsatz,Ergebnis
AirportPark FMO GmbH,5.465,1.316,4,-570,6.188,2.600
Altenzentrum Klarastift gGmbH,5.950,439,6.761 4),185 4),6.587,167
Bädermanagement Münster GmbH,2.181,-38,15.818,289,301,19
Batteriespeicher Münster GmbH 5),---,---,---,---,k.A.,k.A.
Bauwerke Münster GmbH,4.991,-16,6,6,165,100
Bürgerwindpark Löningen GmbH & Co. KG,2.734,795,2.671,633,2.712,621
Bürgerwindpark Löningen Verwaltungs-GmbH,4,1,4,1,5,1
CeNTech GmbH,759,-6,843,-57,926,-71
FMO Flughafen Münster/Osnabrück GmbH (Konzern),34.554,284,43.109,412,38.478,-2.996
GML Gewerbepark Münster Loddenheide GmbH,0,97,0,104,5.000,2.267
Glasfaser Münster GmbH & Co. KG,234,-903,1.500,-726,2.882,-2.541
Glasfaser Münster VerwaltungsGmbH,4,1,4,2,5,2
items (Konzern),63.684,1.451,71.003,1.474,81.158,1.643
KonvOY GmbH,8.677,-1.871,2.053,4.480,22.099,5.295
Lokalradio Münster Betriebsgesellschaft mbh & Co. KG,1.708,260,1.501,96,1.444,24
Messe und Congress Centrum Halle Münsterland GmbH,5.797,-1.943,7.561,-746,8.650,70
NBZ-Nano-Bioanalytik-Zentrum GmbH,761,-298,575,-112,698,-61
Seck GmbH 3),---,---,5.407 4),-1.050 4),6.680,-174
smartOptimo GmbH & Co. KG,19.491,-1.304,21.559,-1.237,26.437,-330
smartOptimo Verwaltungs-GmbH,341,1,384,-10,460,3
Stadtnetze Münster GmbH 1),263.924,6.935,298.584,16.143,188.609,18.064
Stadtteilauto CarSharing Münster GmbH 3),2.979,-10,3.361 4),-76 4),3.425,60
Stadtwerke Münster GmbH (SWMS),1.030.006,11.230,813.879,8.530,743.116,13.358
Stadtwerke Münster Tiefbau GmbH 5),---,---,---,---,k.A.,k.A.
Technologieförderung Münster GmbH (TFM),2.672,213,2.569,-37,2.530,-217
Theaterhaus Pumpenhaus gGmbH 2),101,-1,141,1,144,0
Westfälische Bauindustrie GmbH (WBI),15.787,2.422,17.091,2.990,18.394,3.711
Westfälischer Zoologischer Garten Münster GmbH,9.929,-4.645,11.176,-3.895,12.480,-3.369
Windkraft Nordseeheilbad Borkum GmbH 1),307,193,198,25,298,125
Wirtschaftsförderung Münster GmbH,1.567,-569,4.978,-3,3.540,-844
Wohn + Stadtbau GmbH,69.522,7.221,75.234,8.539,80.560,4.190
