Unternehmen,Typ,(1) Gewinnabführung/-ausschüttung (2) Verlustabdeckung (-) (3) konsumtive / (4) investive Zuwendung (-) gemäß PG 1501 in T€,,
,,Plan 2025,Plan 2026,Plan 2027
AirportPark FMO GmbH,(3),-100,-100,0
Klärschlammverwertung Buchenhofen GmbH,(2),-40,-86,-20
Messe und Congress Centrum Halle Münsterland GmbH,(3),-350,-350,-350
Sparkasse Münsterland Ost,(1),2.800,2.800,2.800
Stadtwerke Münster GmbH,(1),6.500,6.500,6.500
,(3),-1.920,-1.733,-1.733
,(4),-300,-300,-300
Westfälischer Zoologischer Garten Münster GmbH,(3),-4.100,-4.100,-4.100
,(4),-700,-700,-700
Westfälische Bauindustrie GmbH,(1),15,30,30
Wirtschaftsförderung Münster GmbH,(3),-1.850,-1.900,-1.900
Wohn + Stadtbau GmbH,(1),2.400,0,0
