1,2,3 1),4 2),5 3),6
Nr.,Fraktion,Haushaltsansatz,,Ergebnis der Jahresrechnung,Erläuterungen
,,2026,2025,2024,
,,"29.016,00 €","29.952,00 €","30.264,00 €",
,BV Münster-Mitte,,,,
1,Fraktion Bündnis 90 / Die Grünen,"2.184,00 €","2.184,00 €","2.184,00 €","26,00 €/ mtl./ Mitglied (7 Mitglieder)"
2,CDU-Fraktion,"1.560,00 €","1.560,00 €","1.560,00 €","26,00 €/ mtl./ Mitglied (5 Mitglieder)"
3,SPD-Fraktion,"624,00 €","936,00 €","936,00 €","26,00 €/ mtl./ Mitglied (2 Mitglieder) bis 31.10.2025 3 Mitglieder"
4,Fraktion Die Linke,"624,00 €","0,00 €","0,00 €","26,00 €/ mtl./ Mitglied (2 Mitglieder) Fraktion seit 21.03.2025"
,BV Münster-Nord,,,,
5,CDU-Fraktion,"1.872,00 €","2.184,00 €","2.184,00 €","26,00 €/ mtl./ Mitglied (6 Mitglieder) bis 31.10.2025 7 Mitglieder"
6,Fraktion Bündnis 90 / Die Grünen,"1.872,00 €","1.560,00 €","1.560,00 €","26,00 €/ mtl./ Mitglied (6 Mitglieder) bis 31.10.2025 5 Mitglieder"
7,SPD-Fraktion,"936,00 €","1.248,00 €","1.248,00 €","26,00 €/ mtl./ Mitglied (3 Mitglieder) bis 31.10.2025 4 Mitglieder"
8,AfD-Fraktion,"624,00 €","0,00 €","0,00 €","26,00 €/ mtl./ Mitglied (2 Mitglieder) Fraktion seit 01.11.2025"
