Produktbereiche,Zuschüsse in 2026,Zuschüsse in 2027
"Produktbereich 01 ""Innere Verwaltung""",1.900.027 €,2.044.350 €
"Produktbereich 02 ""Sicherheit und Ordnung""",64.510 €,64.510 €
"Produktbereich 03 ""Schulträgeraufgaben""",4.653.770 €,4.885.400 €
"Produktbereich 04 ""Kultur und Wissenschaft""",4.276.770 €,4.239.609 €
"Produktbereich 05 ""Soziale Leistungen""",5.141.575 €,5.125.525 €
"Produktbereich 06 ""Kinder-, Jugend- und Familienhilfe""",202.104.293 €,208.850.357 €
"Produktbereich 07 ""Gesundheitsdienste""",1.453.375 €,1.477.130 €
"Produktbereich 08 ""Sportförderung""",5.086.430 €,5.114.440 €
"Produktbereich 09 ""Räumliche Planung und Entwicklung, Geoinformationen""",533.500 €,534.000 €
"Produktbereich 10 ""Bauen und Wohnen""",3.820 €,3.890 €
"Produktbereich 11 ""Ver- und Entsorgung""",0 €,0 €
"Produktbereich 12 ""Verkehrsflächen und -anlagen, ÖPNV""",0 €,0 €
"Produktbereich 13 ""Natur- und Landschaftspflege""",224.810 €,227.060 €
"Produktbereich 14 ""Umweltschutz""",335.740 €,336.540 €
"Produktbereich 15 ""Wirtschaft und Tourismus""",0 €,0 €
"Produktbereich 16 ""Allgemeine Finanzwirtschaft""",0 €,0 €
"Produktbereich 17 ""Stiftungen""",0 €,0 €
Zuschüsse insgesamt:,225.778.620 €,232.902.811 €
