Lfd.,Produkt-,Amt,Aus-,Empfänger,Verwendungszweck / Zielsetzung,Zuschuss 2026 in €,davon Personal- kosten,davon,davon sonst. Kosten,Zuschuss 2027 in €,davon Personal- kosten,davon,davon sonst. Kosten,verpflichtende/,zeitliche
Nr.,gruppe,,schuss,,,,,Overhead,,,,Overhead,,freiwillige Leistung,Befristung
57,0302,40,ASW,Stadtsportbund,Pädagogische Förderung mit dem Pferd,20.000,0,0,20.000,20.000,0,0,20.000,freiwillig,31.12.2028
58,0302,40,ASW,Jugendausbildungszentrum (JAZ gGmbH) der Caritas Münster,Kofinanzierung der LWL-Jugendwerkstatt,0,0,0,0,120.000,86.000,20.000,14.000,freiwillig,31.12.2028
59,0302,40,ASW,Lernen fördern e. V.,Kooperation in der Werkstattschule Münster,134.950,114.480,9.850,10.620,137.350,116.880,9.850,10.620,dem Grunde nach,31.12.2028
60,0401,41,KA,Annette von Droste-Gesellschaft e.V.,Betrieb und Programm,3.750,3.375,0,375,3.820,3.438,0,382,freiwillig,31.12.2029
61,0401,41,KA,Arbeitskreis Ostviertel e.V.,Betrieb des Bennohauses,24.430,21.987,0,2.443,24.870,22.383,0,2.487,freiwillig,31.12.2030
62,0401,41,KA,Arbeitskreis Ostviertel e.V.,Personalkostenzuschuss,270.240,243.216,0,27.024,275.110,247.599,0,27.511,freiwillig,31.12.2030
63,0401,41,KA,B-Side Kultur e.V.,Umsetzung des Projektes B-Side und Aufbau des Betriebes,220.000,198.000,0,22.000,225.000,202.500,0,22.500,freiwillig,31.12.2030
64,0401,41,KA,Bürgerausschuss Münsterscher Karneval e.V.,Durchführung Rosenmontagszug,22.440,0,0,22.440,22.440,0,0,22.440,freiwillig,31.12.2030
65,0401,41,KA,Bürgerverein für Mecklenbeck e.V.,Betrieb Hof Hesselmann,64.850,58.365,0,6.485,66.020,59.418,0,6.602,freiwillig,31.12.2032
66,0401,41,KA,Bürgerverein für Mecklenbeck e.V.,Bauunterhaltung Hof Hesselmann,16.560,14.904,0,1.656,16.860,15.174,0,1.686,freiwillig,31.12.2032
67,0401,41,KA,Charivari Puppentheater,Betrieb des Charivari Puppentheaters,40.000,36.000,0,4.000,39.970,35.973,0,3.997,freiwillig,31.12.2028
68,0401,41,KA,Chorverband Münster Stadt und Land e.V.,Betrieb des Chorverbandes,4.920,4.428,0,492,5.010,4.509,0,501,freiwillig,31.12.2030
69,0401,41,KA,De Bockwindmüel e.V.,Betrieb und Instandhaltung des Mühlenhof Freilichtmuseums,158.080,142.272,0,15.808,128.410,115.569,0,12.841,freiwillig,31.12.2030
70,0401,41,KA,Die Linse - Verein zur Förderung kommunaler Filmarbeit e.V.,Betrieb und Kinoprogramm Cinema,34.810,31.329,0,3.481,35.440,31.896,0,3.544,freiwillig,31.12.2030
71,0401,41,KA,echtzeit-Theater GbR,Durchführung Westwind-Festival,36.000,0,0,36.000,0,0,0,0,freiwillig,31.12.2026
72,0401,41,KA,Filmwerkstatt Münster e.V.,Betrieb der Filmwerkstatt,98.960,89.064,0,9.896,100.880,90.792,0,10.088,freiwillig,31.12.2030
73,0401,41,KA,Filmwerkstatt Münster e.V.,Durchführung Filmfestival Münster,24.800,0,0,24.800,24.800,0,0,24.800,freiwillig,31.12.2028
74,0401,41,KA,Filmwerkstatt Münster e.V.,Durchführung LiFilm-Festival,12.500,0,0,12.500,12.500,0,0,12.500,freiwillig,31.12.2028
75,0401,41,KA,Flurstücke e.V.,Programmzuschuss Festival Flurstücke,62.500,0,0,62.500,62.500,0,0,62.500,freiwillig,31.12.2028
76,0401,41,KA,Förderverein Aktuelle Kunst e.V.,Atelierbetrieb,9.810,8.829,0,981,9.990,8.991,0,999,freiwillig,31.12.2028
