lfd. Nr.,Produkt- gruppe,Fachamt,Objekt,Erbbauberechtigter,Nutzungszweck,Bilanzwert in €/m²,angemesse ner Erbbauzins pro- zentsatz,Bilanzerb- bauzins in €/m²,derzeitige Berechnungs- basis (Bodenwert) in €/m²,Erbba uzins- proze ntsatz,Erbbau- zins in €/m²,Grundstücks- größe in m²,Zuschuss / Überschuss jährlich in €,Laufzeit/ Vertragsende
1,0801,52,Bonhoefferstraße 54,Sportverein Blau-Weiss Aasee e.V.,Multifunktionshaus,"75,00",4,"3,00","23,75",4,"1,06",1.280,"2.483,20",31.12.2053
2,0801,52,Rheinstraße 40,Akademischer Ruderclub,"Clubhaus, Bootshalle (Stadt darf Anlage für Schulsport nutzen)","216,00",4,"8,64","22,00",4,"1,04",660,"5.016,00",31.12.2038
3,0801,52,Westerheide 3 a,Kuratorium Mehrzweck St. Josef Gelmer 1865 e.V.,Mehrzweckhalle,"127,77",4,"5,11","24,50",4,"0,98",1.055,"4.357,15",31.12.2077
4,0801,52,Zum Hiltruper See 177,1. TC Hiltrup,"Tennishalle, Clubhaus","216,00",6,"8,64","24,00",4,"1,08",2.755,"20.831,20",31.12.2039
5,0801,52,Hansestraße 74,Die Residenz Münster e.V.,Tanzsporthalle,"39,46",4,"1,58","24,00",4,"1,10",2.996,"1.438,08",31.12.2062
6,0801,52,Hansestraße 80,Akademischer Ruderclub,Bootshalle (Erweiterung),"34,37",4,"1,37","22,75",4,"1,04",161,"53,90",31.12.2054
7,0801,52,Hansestraße 80,Akademischer Ruderclub,Bootshalle (Erweiterung),"27,00",4,"1,08","22,75",4,"1,04",137,"5,48",31.12.2054
8,0801,52,Brandhoveweg 95,Turnverein Wolbeck von 1962 e.V.,"Funktionsgebäude ""Haus des Sports""","28,00",4,"1,12","24,50",4,"1,08",1.370,"54,80",31.12.2071
9,0401,41,Theo-Breider-Weg 1,De Bockwindmüel e. V.,Mühlenhof (kulturelle Zwecke),"19,68",4,"0,79","0,04",4,"0,002",16.657,"13.133,47",31.12.2026
10,0601,51,Meckmannweg 72,Kath. Kirchengemeinde St. Liudger,"Kindertagesstätte und Familienzentrum ""Maria Aparecida""","59,68",4,"2,39","38,75",4,"1,89",5.026,"1.465,92",31.07.2026
11,0802,52,Hobbeltstraße 144,Bürgerbad Handorf gGmbH,Hallenbad,"58,45",4,"2,34","20,00",4,"1,01",5.585,"7.428,05",31.12.2077
"Gesamtsumme 56.267,25",,,,,,,,,,,,,,
