lfd.,Produkt-,Fachamt,Mietobjekt,Mieter,Miet- fläche in m²,Auftragsgrundlage,Jahreswarmmiete entsprechend der ILV,Mieterträge/ Kaltmieten 2024,Differenz = jährl.,Anpassung möglich zum,Erläute-
Nr.,gruppe,,,,,,,,Zuschuss 2024,,rung
1,0601,51,Ahausweg 37,Evang. JugendhilfeMünsterland - Kita,"751,00",Ratsbeschluss vom 13.09.2000,"51.880,41 €","0,00 €","51.880,41 €",01.05.2031,(1)
2,0601,51,Alt Angelmodde 11 d,Arbeiterwohlfahrt - Kita,"337,00",Ratsbeschluss vom 04.05.1994,"11.076,86 €","0,00 €","11.076,86 €",01.01.2025,(1)
3,0401,41,Am Hof Hesselmann 10,Bürgerverein für Mecklenbeck e. V.,"592,00",Verwaltungsentscheidung,"24.328,69 €","0,00 €","24.328,69 €",01.01.2025,(2)
4,0111,23,An der Clemenskirche 11,Bischöfliches Generalvikariat,"317,00",Ratsbeschluss vom 08.04.1968,"98.534,21 €","0,00 €","98.534,21 €",01.01.2025,
5,0601,51,An der Meerwiese 11,DRK - Kita,"628,00",Ratsbeschluss vom 24.05.2000,"70.222,44 €","52.017,60 €","18.204,84 €",01.01.2031,(1)*
6,0401,41,Angelmodder Weg 97,Heimatfreunde Angelmodde,"136,00",Beschluss Liegenschafts- ausschuss vom 28.01.1992,"2.335,09 €","0,00 €","2.335,09 €",01.06.2024,
7,0503,50,Coerdestraße 36 a,"Förderverein ""Altes Backhaus e. V.""","206,00",Verwaltungsentscheidung,"5.072,04 €","0,00 €","5.072,04 €",01.03.2025,
8,1305,67,Dyckburgstraße 228,Kreisjägerschaft Münster e. V.,"17,00",Verwaltungsentscheidung,"160,00 €","25,00 €","135,00 €",01.06.2024,
9,0401,41,Gartenstraße 123,Filmwerkstatt Münster e. V.,"168,00",Verwaltungsentscheidung,"7.332,58 €","0,00 €","7.332,58 €",01.01.2025,
10,0601,51,Gronowskistraße 70,Kath. Kirchengemeinde St. Michael - Kita,"814,00",Ratsbeschluss vom 28.04.1999,"25.387,72 €","0,00 €","25.387,72 €",01.01.2030,(1)
11,0401,41,Heumannsweg 127,KG Poahl- bürger e. V.,"880,00",AFBL Beschluss 07.12.2004,"12.130,86 €","8.076,00 €","4.054,86 €",01.01.2025,
12,0301,40,Heumannsweg 127,Verkehrswacht Münster e. V.,"272,00",Ratsbeschluss vom 24.04.2024,"3.749,54 €","0,00 €","3.749,54 €",01.01.2025,
13,0601,51,"Im Seihof 14, 16 und 18",CVJM Christlicher Verein junger Menschen,"1.356,00",Ratsbeschluss vom 17.05.2006,"257.626,00 €","161.088,00 €","96.538,00 €",01.12.2026,
14,0601,51,Korbmacherweg 19,Arbeiterwohlfahrt - Kita,"372,00",Ratsbeschluss (kein Datum) lt. Vorlage Nr. 138/84,"21.461,90 €","0,00 €","21.461,90 €",01.01.2025,(1)
15,0401,41,Neutor 2,Stadtheimatbund e. V.,"71,00",Beschluss Liegenschafts- ausschuss vom 25.04.2004,"32.970,78 €","0,00 €","32.970,78 €",01.07.2024,
16,0601,51,Rilkeweg 43,DRK - Kita,"768,00","Beschluss Ausschuss für Kinder, Jugendliche und Familien vom 17.08.1994","42.457,99 €","0,00 €","42.457,99 €",01.08.2026,(1)
17,0401,41,Schulstraße 43,Ateliergemeinschaft Schulstraße 43 e. V.,"916,25",Ratsbeschluss vom 13.12.2023,"99.920,34 €","43.320,00 €","56.600,34 €",01.01.2030,
18,0401,41,Schulstraße 45,Zukunftswerkstatt Kreuzviertel e. V.,"165,00",Ratsbeschluss vom 13.12.2023,"17.993,84 €","9.480,00 €","8.513,84 €",01.01.2030,
19,0401,41,Sprickmannplatz 1,"Internationaler Kulturverein ""ATRIUM""","377,00",Ratsbeschluss vom 09.12.2009,"13.290,62 €","0,00 €","13.290,62 €",01.07.2024,
20,1401,67,Verth 12 - 14,Emshof Trägerverein e. V.,"1.736,00",Beschluss Liegenschafts- ausschuss vom 13.06.2001,"23.619,20 €","0,00 €","23.619,20 €",01.08.2031,(2)
21,0601,51,Zum Häpper 5,"JugendzentrumA melsbüren; ""Black Bull""","230,97",Beschluss Liegenschafts- ausschuss vom 15.10.1981,"11.853,46 €","0,00 €","11.853,46 €",01.01.2024,
