section;source_file;pdf_page;printed_page;kind;group;grade;is_aggregate;year;value_type;reference_date;unit;value
stellenplan;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;37;33;beamte_kernverwaltung;Wahlbeamte und Wahlbeamtinnen;B10;False;2027;plan;;Stellen;1.00
stellenplan;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;37;33;beamte_kernverwaltung;Wahlbeamte und Wahlbeamtinnen;B10;False;2026;plan;;Stellen;1.00
stellenplan;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;37;33;beamte_kernverwaltung;Wahlbeamte und Wahlbeamtinnen;B10;False;2025;plan;;Stellen;1.00
stellenplan;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;37;33;beamte_kernverwaltung;Wahlbeamte und Wahlbeamtinnen;B10;False;2025;ist;2025-06-30;Stellen;1.00
stellenplan;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;37;33;beamte_kernverwaltung;Wahlbeamte und Wahlbeamtinnen;B6;False;2027;plan;;Stellen;1.00
stellenplan;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;37;33;beamte_kernverwaltung;Wahlbeamte und Wahlbeamtinnen;B6;False;2026;plan;;Stellen;1.00
stellenplan;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;37;33;beamte_kernverwaltung;Wahlbeamte und Wahlbeamtinnen;B6;False;2025;plan;;Stellen;1.00
stellenplan;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;37;33;beamte_kernverwaltung;Wahlbeamte und Wahlbeamtinnen;B6;False;2025;ist;2025-06-30;Stellen;1.00
stellenplan;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;37;33;beamte_kernverwaltung;Wahlbeamte und Wahlbeamtinnen;B5;False;2027;plan;;Stellen;5.00
stellenplan;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;37;33;beamte_kernverwaltung;Wahlbeamte und Wahlbeamtinnen;B5;False;2026;plan;;Stellen;5.00
stellenplan;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;37;33;beamte_kernverwaltung;Wahlbeamte und Wahlbeamtinnen;B5;False;2025;plan;;Stellen;5.00
stellenplan;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;37;33;beamte_kernverwaltung;Wahlbeamte und Wahlbeamtinnen;B5;False;2025;ist;2025-06-30;Stellen;5.00
stellenplan;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;37;33;beamte_kernverwaltung;Wahlbeamte und Wahlbeamtinnen;Summe;True;2027;plan;;Stellen;7.00
stellenplan;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;37;33;beamte_kernverwaltung;Wahlbeamte und Wahlbeamtinnen;Summe;True;2026;plan;;Stellen;7.00
stellenplan;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;37;33;beamte_kernverwaltung;Wahlbeamte und Wahlbeamtinnen;Summe;True;2025;plan;;Stellen;7.00
stellenplan;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;37;33;beamte_kernverwaltung;Wahlbeamte und Wahlbeamtinnen;Summe;True;2025;ist;2025-06-30;Stellen;7.00
stellenplan;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;37;33;beamte_kernverwaltung;Laufbahngruppe 2 - Einstiegsamt 2;B2;False;2027;plan;;Stellen;6.00
stellenplan;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;37;33;beamte_kernverwaltung;Laufbahngruppe 2 - Einstiegsamt 2;B2;False;2026;plan;;Stellen;6.00
stellenplan;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;37;33;beamte_kernverwaltung;Laufbahngruppe 2 - Einstiegsamt 2;B2;False;2025;plan;;Stellen;6.00
stellenplan;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;37;33;beamte_kernverwaltung;Laufbahngruppe 2 - Einstiegsamt 2;B2;False;2025;ist;2025-06-30;Stellen;5.50
stellenplan;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;37;33;beamte_kernverwaltung;Laufbahngruppe 2 - Einstiegsamt 2;A16;False;2027;plan;;Stellen;13.00
stellenplan;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;37;33;beamte_kernverwaltung;Laufbahngruppe 2 - Einstiegsamt 2;A16;False;2026;plan;;Stellen;13.00
stellenplan;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;37;33;beamte_kernverwaltung;Laufbahngruppe 2 - Einstiegsamt 2;A16;False;2025;plan;;Stellen;12.00
stellenplan;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;37;33;beamte_kernverwaltung;Laufbahngruppe 2 - Einstiegsamt 2;A16;False;2025;ist;2025-06-30;Stellen;11.00
stellenplan;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;37;33;beamte_kernverwaltung;Laufbahngruppe 2 - Einstiegsamt 2;A15;False;2027;plan;;Stellen;29.65
stellenplan;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;37;33;beamte_kernverwaltung;Laufbahngruppe 2 - Einstiegsamt 2;A15;False;2026;plan;;Stellen;29.65
stellenplan;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;37;33;beamte_kernverwaltung;Laufbahngruppe 2 - Einstiegsamt 2;A15;False;2025;plan;;Stellen;32.00
stellenplan;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;37;33;beamte_kernverwaltung;Laufbahngruppe 2 - Einstiegsamt 2;A15;False;2025;ist;2025-06-30;Stellen;30.23
stellenplan;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;37;33;beamte_kernverwaltung;Laufbahngruppe 2 - Einstiegsamt 2;A14;False;2027;plan;;Stellen;54.43
stellenplan;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;37;33;beamte_kernverwaltung;Laufbahngruppe 2 - Einstiegsamt 2;A14;False;2026;plan;;Stellen;54.43
stellenplan;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;37;33;beamte_kernverwaltung;Laufbahngruppe 2 - Einstiegsamt 2;A14;False;2025;plan;;Stellen;47.93
stellenplan;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;37;33;beamte_kernverwaltung;Laufbahngruppe 2 - Einstiegsamt 2;A14;False;2025;ist;2025-06-30;Stellen;45.78
stellenplan;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;37;33;beamte_kernverwaltung;Laufbahngruppe 2 - Einstiegsamt 2;A13L2E2;False;2027;plan;;Stellen;16.00
