band,seite,tabelle,datei
1,1,0,band1_p001_unbekannt_Tabelle_t0.csv
1,9,0,band1_p009_PG12_Ergebnisplan_t0.csv
1,10,0,band1_p010_PG12_Ergebnisplan_t0.csv
1,11,0,band1_p011_PG12_Finanzplan_t0.csv
1,12,0,band1_p012_PG12_Finanzplan_t0.csv
1,16,0,band1_p016_PB01_InnereVerwaltung_Teilergebnisplan_t0.csv
1,17,0,band1_p017_PB01_InnereVerwaltung_Teilfinanzplan_t0.csv
1,19,0,band1_p019_PG0101_Beschreibung_t0.csv
1,20,0,band1_p020_PG0101_Tabelle_t0.csv
1,20,1,band1_p020_PG0101_Tabelle_t1.csv
1,20,2,band1_p020_PG0101_Tabelle_t2.csv
1,21,0,band1_p021_PG0101_Tabelle_t0.csv
1,21,1,band1_p021_PG0101_Tabelle_t1.csv
1,21,2,band1_p021_PG0101_Tabelle_t2.csv
1,22,0,band1_p022_PG0101_Teilergebnisplan_t0.csv
1,25,0,band1_p025_PG0102_GeschaftsfuhrungfurpolitischeGremien_internationaleBeziehung_Beschreibung_t0.csv
1,26,0,band1_p026_PG0102_GeschaftsfuhrungfurpolitischeGremien_internationaleBeziehung_Teilergebnisplan_t0.csv
1,28,0,band1_p028_PG0102_GeschaftsfuhrungfurpolitischeGremien_internationaleBeziehung_Teilfinanzplan_t0.csv
1,31,0,band1_p031_PG0103_OB_BM_undVerwaltungsfuhrung_Beschreibung_t0.csv
1,32,0,band1_p032_PG0103_OB_BM_undVerwaltungsfuhrung_Teilergebnisplan_t0.csv
1,34,0,band1_p034_PG0103_OB_BM_undVerwaltungsfuhrung_Teilfinanzplan_t0.csv
1,37,0,band1_p037_PG0104_GleichstellungallerGeschlechter_Beschreibung_t0.csv
1,38,0,band1_p038_PG0104_GleichstellungallerGeschlechter_Kennzahlen_t0.csv
1,39,0,band1_p039_PG0104_GleichstellungallerGeschlechter_Tabelle_t0.csv
1,39,1,band1_p039_PG0104_GleichstellungallerGeschlechter_Tabelle_t1.csv
1,40,0,band1_p040_PG0104_GleichstellungallerGeschlechter_Teilergebnisplan_t0.csv
1,43,0,band1_p043_PG0105_Personal_undSchwerbehindertenvertretung_Beschreibung_t0.csv
1,44,0,band1_p044_PG0105_Personal_undSchwerbehindertenvertretung_Kennzahlen_t0.csv
1,45,0,band1_p045_PG0105_Personal_undSchwerbehindertenvertretung_Teilergebnisplan_t0.csv
1,47,0,band1_p047_PG0106_WirtschaftlichkeitsprufungundRevision_Beschreibung_t0.csv
1,48,0,band1_p048_PG0106_WirtschaftlichkeitsprufungundRevision_Kennzahlen_t0.csv
1,49,0,band1_p049_PG0106_WirtschaftlichkeitsprufungundRevision_Teilergebnisplan_t0.csv
1,51,0,band1_p051_PG0107_PublicRelations_Beschreibung_t0.csv
1,52,0,band1_p052_PG0107_PublicRelations_Kennzahlen_t0.csv
1,53,0,band1_p053_PG0107_PublicRelations_Teilergebnisplan_t0.csv
1,54,0,band1_p054_PG0107_PublicRelations_Teilfinanzplan_t0.csv
1,57,0,band1_p057_PG0108_Personal_undOrganisationsmanagement_Beschreibung_t0.csv
1,58,0,band1_p058_PG0108_Personal_undOrganisationsmanagement_Kennzahlen_t0.csv
1,59,0,band1_p059_PG0108_Personal_undOrganisationsmanagement_Teilergebnisplan_t0.csv
1,63,0,band1_p063_PG0109_Finanz_undBeteiligungsmanagement_Beschreibung_t0.csv
1,64,0,band1_p064_PG0109_Finanz_undBeteiligungsmanagement_Teilergebnisplan_t0.csv
1,66,0,band1_p066_PG0109_Finanz_undBeteiligungsmanagement_Teilfinanzplan_t0.csv
1,69,0,band1_p069_PG0110_Recht_Beschreibung_t0.csv
1,70,0,band1_p070_PG0110_Recht_Kennzahlen_t0.csv
1,71,0,band1_p071_PG0110_Recht_Teilergebnisplan_t0.csv
1,75,0,band1_p075_PG0111_Immobilienmanagement_Beschreibung_t0.csv
1,76,0,band1_p076_PG0111_Immobilienmanagement_Kennzahlen_t0.csv
1,77,0,band1_p077_PG0111_Immobilienmanagement_Teilergebnisplan_t0.csv
1,79,0,band1_p079_PG0111_Immobilienmanagement_Teilfinanzplan_t0.csv
1,81,0,band1_p081_PG0113_ZentraleDienste_Beschreibung_t0.csv
1,82,0,band1_p082_PG0113_ZentraleDienste_Teilergebnisplan_t0.csv
1,84,0,band1_p084_PG0113_ZentraleDienste_Teilfinanzplan_t0.csv
1,87,0,band1_p087_PG0114_VerwaltungderKommunalenStiftungen_Beschreibung_t0.csv
1,88,0,band1_p088_PG0114_VerwaltungderKommunalenStiftungen_Kennzahlen_t0.csv
1,89,0,band1_p089_PG0114_VerwaltungderKommunalenStiftungen_Teilergebnisplan_t0.csv
1,91,0,band1_p091_PG0115_IT_Management_citeq_Beschreibung_t0.csv
1,92,0,band1_p092_PG0115_IT_Management_citeq_Teilergebnisplan_t0.csv
1,93,0,band1_p093_PG0115_IT_Management_citeq_Teilfinanzplan_t0.csv
1,95,0,band1_p095_PG0116_Migrations_undIntegrationsmanagement_Beschreibung_t0.csv
1,96,0,band1_p096_PG0116_Migrations_undIntegrationsmanagement_Kennzahlen_t0.csv
1,97,0,band1_p097_PG0116_Migrations_undIntegrationsmanagement_Tabelle_t0.csv
1,97,1,band1_p097_PG0116_Migrations_undIntegrationsmanagement_Tabelle_t1.csv
1,98,0,band1_p098_PG0116_Migrations_undIntegrationsmanagement_Tabelle_t0.csv
1,99,0,band1_p099_PG0116_Migrations_undIntegrationsmanagement_Teilergebnisplan_t0.csv
1,102,0,band1_p102_PB02_SicherheitundOrdnung_Teilergebnisplan_t0.csv
1,103,0,band1_p103_PB02_SicherheitundOrdnung_Teilfinanzplan_t0.csv
1,105,0,band1_p105_PG0201_OrdnungsrechtlicheAngelegenheiten_Beschreibung_t0.csv
1,106,0,band1_p106_PG0201_OrdnungsrechtlicheAngelegenheiten_Tabelle_t0.csv
1,106,1,band1_p106_PG0201_OrdnungsrechtlicheAngelegenheiten_Tabelle_t1.csv
1,107,0,band1_p107_PG0201_OrdnungsrechtlicheAngelegenheiten_Teilergebnisplan_t0.csv
1,109,0,band1_p109_PG0201_OrdnungsrechtlicheAngelegenheiten_Teilfinanzplan_t0.csv
1,111,0,band1_p111_PG0202_GewerberechtlicheAngelegenheiten_Beschreibung_t0.csv
1,112,0,band1_p112_PG0202_GewerberechtlicheAngelegenheiten_Tabelle_t0.csv
1,112,1,band1_p112_PG0202_GewerberechtlicheAngelegenheiten_Tabelle_t1.csv
1,113,0,band1_p113_PG0202_GewerberechtlicheAngelegenheiten_Teilergebnisplan_t0.csv
