Code,Bezeichnung,Ertraege_2026,Aufwendungen_2026,Ertraege_2027,Aufwendungen_2027,Gruppe
0101,Bezirksvertretungen/frei verfügb. Mittel,,338560.0,,404560.0,01
0102,"GF für polit. Gremien, internat. Beziehungen",288240.0,5862130.0,267850.0,5885500.0,01
0103,"OB, BM und Verwaltungsführung",272000.0,9274030.0,221860.0,9224940.0,01
0104,Gleichstellung aller Geschlechter,4000.0,2289290.0,4370.0,2272360.0,01
0105,Personal- u. Schwerbehindertenvertretung,210000.0,2061450.0,211350.0,2074440.0,01
0106,Wirtschaftlichkeitsprüfung und Revision,61660.0,2176140.0,63180.0,2162740.0,01
0107,Public Relations,58300.0,1841850.0,62060.0,1831220.0,01
0108,Personal- und Organisationsmanagement,3154710.0,24113990.0,3154710.0,24477330.0,01
0109,Finanz- und Beteiligungsmanagement,1983830.0,16656010.0,2003200.0,16381270.0,01
0110,Recht,682860.0,2956770.0,684190.0,2988180.0,01
0111,Immobilienmanagement,38599780.0,128438230.0,38333200.0,128730470.0,01
0113,Zentrale Dienste,1560610.0,21449710.0,1557710.0,20758060.0,01
0114,Stiftungsmanagement,500000.0,514260.0,500000.0,520930.0,01
0115,IT-Management (citeq),,8000.0,,8000.0,01
0116,Migrations- und Integrationsmanagement,693320.0,1263440.0,599800.0,1352920.0,01
0201,Ordnungsrechtliche Angelegenheiten,485000.0,7315300.0,492210.0,7358520.0,02
0202,Gewerberechtliche Angelegenheiten,1330000.0,2295110.0,1330000.0,2282730.0,02
0203,Straßenverkehrsrechtliche Angelegenheit,16499000.0,12635230.0,16999000.0,12638740.0,02
0204,Bürgerangelegenheiten,5730230.0,9346670.0,5981410.0,9330350.0,02
0205,Standesamtsangelegenheiten,474030.0,2032060.0,474030.0,2007570.0,02
0206,Ausländerangelegenheiten,702230.0,5157100.0,699070.0,5143310.0,02
0207,Statistik,550.0,709450.0,550.0,714290.0,02
0208,Wahlen,,2510.0,489500.0,873130.0,02
0209,Brandschutz & feuerwehrt.Hilfeleistungen,2072010.0,44086450.0,2072010.0,43495150.0,02
0210,Rettungsdienst,32675100.0,35389130.0,33155100.0,35048940.0,02
0211,Veterinärwesen & Lebensmittelüberwachung,227620.0,3283980.0,189020.0,3313940.0,02
0301,Leistungen für Schulen,3535630.0,42903040.0,3608700.0,43173030.0,03
0302,Zentr.Leist. f. am Schulleben Beteiligte,997820.0,15697530.0,747820.0,15786720.0,03
0401,Kulturmanagement / Kulturförderung,526590.0,6942140.0,551820.0,7279090.0,04
0402,Volkshochschule,2861600.0,4130480.0,2861500.0,4155760.0,04
0403,Westf. Schule für Musik,2821670.0,7793490.0,2774040.0,7867750.0,04
0404,Stadtbücherei u. Förderung freier Träger,764300.0,6442600.0,753620.0,6587450.0,04
0405,Stadtmuseum,228500.0,2045790.0,228980.0,2056030.0,04
0406,Stadtarchiv,62410.0,1171420.0,39940.0,1177770.0,04
0407,Theater Münster,25000.0,26168830.0,25000.0,26774120.0,04
0408,Geschichtsort Villa ten Hompel,264290.0,957610.0,193690.0,937780.0,04
0501,Leist. der Grundsicherung f. Arbeitsuchende,197969720.0,227488530.0,200555350.0,230309560.0,05
0502,Sicherung Lebensunterhalt,71682020.0,92624490.0,73018700.0,92750830.0,05
0503,Sicherung besonderer sozialer Bedarfe,6819930.0,73322880.0,6935260.0,74484820.0,05
0504,Wohngeld,3000.0,2921960.0,3000.0,2721750.0,05
0601,Förderung von Kindern in Tagesbetreuung,128870040.0,218007240.0,130797990.0,218555440.0,06
0602,Kinder- und Jugendarbeit,28100440.0,46262570.0,28077860.0,47688370.0,06
0603,Förd. v. benachteiligten jungen Menschen,548010.0,10676380.0,548010.0,10941970.0,06
0604,Familienförderung,363890.0,5987210.0,374390.0,6157430.0,06
0605,Erzieh.u.wirtschaftl.Hilfen für Familien,26491370.0,117844510.0,27869240.0,117018140.0,06
0701,Gesundheitsdienste,3089970.0,17433250.0,3122970.0,17768360.0,07
0801,"Sportentwicklung, Sportanlagen/-stätten",2764120.0,9697260.0,2773360.0,9634500.0,08
0802,Bäder,2357200.0,9138320.0,2357730.0,9125540.0,08
0901,"Stadt-/Regionalentwicklung, Stadtplanung",1870840.0,11597990.0,1952330.0,11004180.0,09
0902,"Vermessung, Kataster und Geoinformation",1524710.0,9463290.0,1241910.0,9237770.0,09
1001,Bauaufsicht und baurechtliche Beratung,3421800.0,8162140.0,3471700.0,8116470.0,10
1002,Denkmalschutz und Denkmalpflege,414000.0,1859860.0,414000.0,1892410.0,10
1003,Wohnen,395290.0,6933870.0,343590.0,6853120.0,10
1101,Abwasserbeseitigung,86972920.0,53952580.0,89245950.0,54850200.0,11
1102,Abfallwirtschaft (AWM),,,,,11
1201,Bereitstellung Verkehrsflächen/-anlagen,47168160.0,83066730.0,47845660.0,83089990.0,12
1301,Grün- und Freiflächen,1373370.0,20138550.0,1330830.0,20078210.0,13
1302,Friedhöfe,2091670.0,2128980.0,2104590.0,2143770.0,13
1303,"Natur, Landschaft, Erholung,Wasserschutz",410880.0,4336550.0,388000.0,4340570.0,13
1304,Fließende Gewässer,1664060.0,2166980.0,1539600.0,2197030.0,13
1305,Wald und Forstwirtschaft,263770.0,697720.0,263770.0,701170.0,13
1401,Übergreifender Umweltschutz,854580.0,5434270.0,525540.0,5427340.0,14
1501,Anteile an Unternehmen,18787380.0,13260480.0,18787380.0,14552110.0,15
1502,Stadtmarketing (MM),,3759780.0,,3834380.0,15
1503,Stadthalle Hiltrup,157240.0,235520.0,157240.0,236480.0,15
1504,Öffentliche Toilettenanlagen,,476530.0,,651590.0,15
1601,Allgemeine Finanzwirtschaft,904050000.0,171675300.0,917250000.0,177898300.0,16
1701,Rechtlich unselbständige Stiftungen,17000.0,31680.0,17000.0,31680.0,17
,Gesamtsumme Stadt Münster,1660850270.0,1686533180.0,1684643440.0,1701368570.0,
